NO_OF_FRAMES	3328
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-04, 11:13:01.828	521586.74893000
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5
TRAJECTORY_TYPES	Mixed	Measured	Measured	Mixed	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	
1050	10.49000	-67.448	-987.736	1262.291	-96.586	-921.245	1276.934	2.557	-950.619	1267.874	-38.264	-887.052	1284.577	-57.042	-953.516	1307.393
1051	10.50000	-66.347	-992.902	1262.150	-95.764	-926.628	1276.885	3.643	-955.752	1267.941	-37.471	-892.327	1284.695	-56.084	-958.701	1307.338
1052	10.51000	-65.078	-998.080	1262.027	-94.687	-931.982	1276.742	4.719	-960.747	1268.114	-36.627	-897.293	1284.685	-54.999	-963.930	1307.217
1053	10.52000	-63.690	-1003.402	1261.933	-93.553	-937.197	1276.667	5.889	-965.778	1268.051	-35.606	-902.580	1284.594	-53.829	-968.979	1307.019
1054	10.53000	-62.162	-1008.766	1261.685	-92.266	-942.625	1276.279	7.470	-970.905	1267.871	-34.370	-907.790	1284.353	-52.508	-974.338	1306.701
1055	10.54000	-60.437	-1014.042	1261.111	-90.790	-948.136	1275.891	8.953	-975.857	1267.511	-33.053	-913.033	1283.977	-50.981	-979.664	1306.306
1056	10.55000	-58.633	-1019.292	1260.671	-89.226	-953.413	1275.287	10.621	-980.918	1267.261	-31.609	-918.313	1283.615	-49.307	-984.988	1305.812
1057	10.56000	-56.765	-1024.695	1260.011	-87.537	-958.837	1274.634	12.390	-986.103	1266.818	-30.030	-923.572	1283.071	-47.553	-990.212	1305.367
1058	10.57000	-54.774	-1029.905	1259.453	-85.757	-964.240	1273.988	14.337	-991.152	1266.192	-28.421	-928.728	1282.517	-45.756	-995.577	1304.813
1059	10.58000	-52.677	-1035.001	1259.056	-83.868	-969.500	1273.339	16.090	-996.200	1265.854	-26.691	-933.720	1281.913	-43.844	-1000.661	1304.299
1060	10.59000	-50.472	-1040.278	1258.613	-81.808	-974.597	1272.712	18.376	-1001.214	1265.234	-24.610	-938.920	1281.342	-41.776	-1005.726	1303.832
1061	10.60000	-48.113	-1045.469	1258.084	-79.659	-979.859	1271.943	20.424	-1006.056	1264.677	-22.510	-944.028	1280.687	-39.637	-1010.762	1303.176
1062	10.61000	-45.742	-1050.527	1257.461	-77.415	-985.029	1271.265	22.750	-1011.030	1264.077	-20.334	-948.910	1279.804	-37.306	-1015.787	1302.539
1063	10.62000	-43.334	-1055.470	1256.969	-74.992	-989.915	1270.571	25.169	-1016.062	1263.729	-17.952	-953.910	1279.131	-34.917	-1020.681	1301.908
1064	10.63000	-40.819	-1060.411	1256.495	-72.515	-994.814	1269.913	27.873	-1021.010	1262.958	-15.545	-958.778	1278.576	-32.487	-1025.485	1301.408
1065	10.64000	-38.214	-1065.342	1256.366	-69.861	-999.746	1269.554	30.224	-1025.633	1262.710	-13.005	-963.534	1277.888	-29.895	-1030.158	1301.043
1066	10.65000	-35.520	-1070.285	1256.090	-67.209	-1004.567	1268.957	33.180	-1030.783	1262.215	-10.293	-968.378	1277.283	-27.216	-1034.938	1300.714
1067	10.66000	-32.786	-1075.322	1255.764	-64.476	-1009.474	1268.610	35.908	-1035.699	1261.884	-7.525	-973.225	1276.545	-24.394	-1039.848	1300.310
1068	10.67000	-29.963	-1080.379	1255.560	-61.593	-1014.642	1268.076	38.761	-1040.695	1261.586	-4.590	-978.195	1275.967	-21.534	-1044.710	1299.941
1069	10.68000	-27.083	-1085.326	1255.364	-58.751	-1019.504	1267.583	41.361	-1045.652	1261.203	-1.667	-983.312	1275.393	-18.696	-1049.572	1299.711
1070	10.69000	-24.059	-1090.363	1255.111	-55.711	-1024.490	1267.310	44.538	-1050.878	1260.923	1.375	-988.469	1275.072	-15.719	-1054.584	1299.436
1071	10.70000	-21.030	-1095.654	1255.096	-52.598	-1029.719	1267.056	47.722	-1056.066	1260.768	4.369	-993.461	1274.814	-12.653	-1059.543	1299.213
1072	10.71000	-17.724	-1100.914	1255.060	-49.460	-1034.897	1266.662	50.942	-1061.368	1260.585	7.491	-998.569	1274.319	-9.529	-1064.600	1299.103
1073	10.72000	-14.438	-1106.229	1254.920	-46.155	-1040.225	1266.512	54.132	-1066.560	1260.526	10.762	-1003.978	1274.137	-6.300	-1069.902	1298.847
1074	10.73000	-11.146	-1111.551	1254.850	-42.822	-1045.626	1266.337	57.487	-1071.842	1260.563	14.073	-1009.180	1273.973	-2.921	-1075.319	1298.779
1075	10.74000	-7.645	-1117.013	1254.829	-39.408	-1051.064	1266.078	60.995	-1077.138	1260.723	17.461	-1014.480	1273.727	0.554	-1080.608	1298.801
1076	10.75000	-4.010	-1122.520	1254.842	-35.898	-1056.613	1265.898	64.312	-1082.608	1260.439	20.938	-1019.898	1273.597	3.991	-1086.090	1298.667
1077	10.76000	-0.446	-1127.994	1254.696	-32.386	-1062.066	1265.936	68.094	-1088.132	1260.357	24.511	-1025.536	1273.537	7.607	-1091.594	1298.555
1078	10.77000	3.380	-1133.655	1254.845	-28.642	-1067.649	1265.757	71.693	-1093.538	1260.529	28.106	-1030.968	1273.443	11.351	-1097.052	1298.660
1079	10.78000	7.186	-1139.151	1254.928	-24.867	-1073.230	1265.654	75.626	-1099.187	1260.594	31.837	-1036.616	1273.396	15.132	-1102.574	1298.624
1080	10.79000	11.195	-1144.715	1254.956	-20.918	-1078.811	1265.814	79.550	-1104.619	1260.583	35.687	-1042.056	1273.411	18.944	-1108.024	1298.702
1081	10.80000	15.187	-1150.260	1255.149	-17.064	-1084.507	1265.874	83.265	-1109.975	1260.622	39.596	-1047.482	1273.386	22.909	-1113.503	1298.758
1082	10.81000	19.245	-1155.814	1255.325	-13.116	-1089.960	1265.899	87.544	-1115.564	1260.834	43.635	-1053.085	1273.536	26.935	-1119.033	1298.833
1083	10.82000	23.384	-1161.346	1255.520	-8.958	-1095.456	1265.922	91.500	-1121.131	1260.985	47.702	-1058.562	1273.390	31.060	-1124.491	1299.030
1084	10.83000	27.639	-1166.898	1255.560	-4.687	-1101.110	1265.959	95.986	-1126.625	1261.005	51.907	-1064.076	1273.367	35.319	-1129.914	1299.046
1085	10.84000	32.039	-1172.302	1255.680	-0.262	-1106.502	1266.045	100.371	-1132.064	1261.157	56.375	-1069.581	1273.433	39.771	-1135.296	1299.150
1086	10.85000	36.612	-1177.797	1255.810	4.248	-1111.926	1265.920	104.946	-1137.529	1261.117	60.917	-1075.019	1273.260	44.327	-1140.740	1299.146
1087	10.86000	41.279	-1183.124	1256.069	8.918	-1117.403	1266.040	109.572	-1142.803	1261.128	65.554	-1080.320	1273.082	49.034	-1146.023	1299.314
1088	10.87000	46.073	-1188.551	1256.182	13.802	-1122.659	1265.999	114.310	-1148.260	1260.969	70.433	-1085.640	1272.903	53.825	-1151.203	1299.210
1089	10.88000	50.913	-1193.806	1256.063	18.694	-1127.844	1265.730	119.198	-1153.612	1260.912	75.382	-1090.910	1272.570	58.772	-1156.365	1299.151
1090	10.89000	55.848	-1199.114	1256.204	23.728	-1133.123	1265.669	124.293	-1158.865	1260.814	80.466	-1096.180	1272.456	63.821	-1161.521	1299.035
1091	10.90000	61.010	-1204.408	1256.367	28.869	-1138.376	1265.687	129.378	-1164.308	1260.677	85.582	-1101.324	1272.121	68.973	-1166.634	1299.137
1092	10.91000	66.172	-1209.630	1256.558	34.035	-1143.486	1265.684	134.537	-1169.492	1260.733	90.787	-1106.467	1272.017	74.116	-1171.755	1299.051
1093	10.92000	71.392	-1214.956	1256.575	39.290	-1148.802	1265.534	139.690	-1174.786	1260.647	96.067	-1111.691	1271.770	79.373	-1176.955	1299.084
1094	10.93000	76.482	-1220.251	1256.652	44.471	-1153.955	1265.449	144.960	-1180.299	1260.470	101.387	-1117.067	1271.470	84.561	-1182.155	1298.911
1095	10.94000	81.735	-1225.503	1256.536	49.791	-1159.134	1265.066	150.191	-1185.459	1260.532	106.751	-1122.395	1271.286	89.882	-1187.376	1298.842
1096	10.95000	87.022	-1230.603	1256.545	55.211	-1164.282	1264.829	155.552	-1190.799	1260.612	112.155	-1127.568	1270.885	95.135	-1192.421	1298.687
1097	10.96000	92.321	-1235.900	1256.503	60.616	-1169.364	1264.591	161.005	-1196.081	1260.462	117.666	-1132.811	1270.563	100.423	-1197.482	1298.656
1098	10.97000	97.828	-1241.068	1256.594	66.167	-1174.581	1264.258	166.462	-1201.218	1260.451	123.254	-1137.797	1270.438	105.896	-1202.522	1298.541
1099	10.98000	103.352	-1246.192	1256.553	71.886	-1179.712	1264.260	172.030	-1206.591	1260.359	128.948	-1143.045	1270.128	111.490	-1207.563	1298.428
1100	10.99000	109.055	-1251.195	1256.536	77.640	-1184.585	1263.836	177.751	-1211.775	1260.373	134.864	-1148.052	1269.900	117.187	-1212.410	1298.254
1101	11.00000	115.009	-1256.303	1256.367	83.659	-1189.522	1263.605	183.819	-1216.874	1260.151	140.942	-1152.959	1269.362	123.111	-1217.400	1297.970
1102	11.01000	120.994	-1261.214	1255.992	89.843	-1194.531	1263.016	189.609	-1222.141	1259.815	147.067	-1158.018	1268.942	129.120	-1222.326	1297.580
1103	11.02000	127.200	-1266.359	1255.720	96.142	-1199.487	1262.605	196.019	-1227.141	1259.392	153.477	-1162.964	1268.405	135.398	-1227.327	1297.245
1104	11.03000	133.526	-1271.299	1255.360	102.588	-1204.205	1262.147	202.635	-1232.206	1259.228	159.942	-1168.678	1268.208	141.835	-1232.143	1296.848
