NO_OF_FRAMES	3328
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-04, 11:13:01.828	521586.74893000
DATA_INCLUDED	6D
BODY_NAMES	Drone
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1050	10.49000	-51.35674	-940.03360	1279.81362	7.48291	10.33086	-16.95409	0.59438	0.94103	-0.26678	-0.20805	0.28688	0.95520	0.07272	0.17933	-0.12812	0.97541	
1051	10.50000	-50.40466	-945.26194	1279.80175	7.55335	10.24554	-16.79650	0.57063	0.94207	-0.26408	-0.20679	0.28437	0.95579	0.07489	0.17787	-0.12935	0.97552	
1052	10.51000	-49.33448	-950.40651	1279.75710	7.53758	10.10393	-16.56728	0.57485	0.94362	-0.26062	-0.20410	0.28072	0.95677	0.07614	0.17543	-0.12914	0.97598	
1053	10.52000	-48.15791	-955.58747	1279.65270	7.48291	10.08923	-16.41516	0.51580	0.94441	-0.25830	-0.20341	0.27823	0.95752	0.07584	0.17518	-0.12822	0.97615	
1054	10.53000	-46.76721	-960.88474	1279.37762	7.43710	9.98291	-16.22424	0.54865	0.94564	-0.25550	-0.20121	0.27517	0.95837	0.07626	0.17335	-0.12748	0.97657	
1055	10.54000	-45.26144	-966.14641	1278.95897	7.49311	9.97493	-15.96535	0.54240	0.94689	-0.25099	-0.20098	0.27090	0.95943	0.07814	0.17322	-0.12844	0.97647	
1056	10.55000	-43.63084	-971.38497	1278.52933	7.48907	9.82470	-15.79093	0.56681	0.94815	-0.24841	-0.19826	0.26814	0.96010	0.07938	0.17063	-0.12843	0.97693	
1057	10.56000	-41.89894	-976.68349	1277.98030	7.44032	9.73716	-15.63155	0.53072	0.94914	-0.24609	-0.19639	0.26557	0.96081	0.07952	0.16913	-0.12763	0.97730	
1058	10.57000	-40.07415	-981.92058	1277.39268	7.43254	9.73360	-15.42245	0.57108	0.95011	-0.24262	-0.19601	0.26211	0.96171	0.08012	0.16907	-0.12750	0.97732	
1059	10.58000	-38.19804	-987.01652	1276.89250	7.27251	9.63516	-15.26446	0.57725	0.95111	-0.24072	-0.19350	0.25956	0.96254	0.07841	0.16737	-0.12480	0.97796	
1060	10.59000	-36.05791	-992.14667	1276.34652	7.16804	9.63295	-15.18918	0.57925	0.95146	-0.23981	-0.19292	0.25831	0.96299	0.07692	0.16734	-0.12302	0.97819	
1061	10.60000	-33.89914	-997.23503	1275.71335	7.04687	9.57114	-15.00652	0.59023	0.95245	-0.23727	-0.19115	0.25532	0.96388	0.07577	0.16627	-0.12097	0.97863	
1062	10.61000	-31.60932	-1002.25637	1275.02930	6.88962	9.58100	-14.88330	0.59534	0.95297	-0.23570	-0.19051	0.25327	0.96460	0.07349	0.16644	-0.11828	0.97893	
1063	10.62000	-29.20493	-1007.20751	1274.46134	6.77423	9.42552	-14.91096	0.59037	0.95328	-0.23685	-0.18750	0.25384	0.96455	0.07214	0.16377	-0.11636	0.97961	
1064	10.63000	-26.69848	-1012.09978	1273.87017	6.70009	9.46398	-14.88575	0.58421	0.95329	-0.23660	-0.18780	0.25340	0.96477	0.07081	0.16443	-0.11508	0.97965	
1065	10.64000	-24.14981	-1016.88258	1273.51232	6.39810	9.50611	-14.79041	0.58031	0.95359	-0.23590	-0.18713	0.25178	0.96554	0.06585	0.16515	-0.10991	0.98013	
1066	10.65000	-21.41151	-1021.79010	1273.05197	6.18992	9.46733	-14.85974	0.57963	0.95339	-0.23782	-0.18571	0.25296	0.96547	0.06228	0.16449	-0.10636	0.98063	
1067	10.66000	-18.65446	-1026.71374	1272.62258	5.99174	9.52047	-14.85066	0.58450	0.95328	-0.23821	-0.18576	0.25277	0.96574	0.05874	0.16540	-0.10295	0.98084	
1068	10.67000	-15.78378	-1031.72435	1272.22608	5.75593	9.47001	-14.83224	0.59112	0.95351	-0.23875	-0.18392	0.25250	0.96603	0.05504	0.16453	-0.09892	0.98140	
1069	10.68000	-12.96703	-1036.67335	1271.85106	5.56540	9.47953	-14.88800	0.60629	0.95323	-0.24028	-0.18333	0.25342	0.96598	0.05161	0.16470	-0.09566	0.98169	
