NO_OF_FRAMES	3364
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-07-29, 12:15:23.646	6912.52665900
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	
1182	11.81000	299.694	-982.298	1313.835	360.017	-1018.739	1292.102	288.731	-941.643	1271.008	278.840	-1017.558	1272.556	356.283	-941.388	1290.128
1183	11.82000	303.357	-984.137	1314.200	363.718	-1020.564	1292.536	292.146	-943.596	1271.467	282.419	-1019.462	1272.982	359.949	-943.084	1290.683
1184	11.83000	306.923	-986.069	1314.580	366.313	-1020.989	1296.360	295.704	-945.683	1271.895	286.012	-1021.411	1273.459	363.536	-944.942	1291.164
1185	11.84000	310.417	-987.924	1315.099	370.660	-1024.279	1293.323	299.244	-947.502	1272.105	289.599	-1023.393	1274.031	367.247	-946.633	1291.412
1186	11.85000	314.067	-989.689	1315.404	374.114	-1026.005	1293.797	302.682	-949.238	1272.751	293.331	-1025.339	1274.418	370.654	-948.386	1291.840
1187	11.86000	317.576	-991.404	1315.625	377.593	-1027.647	1294.092	306.195	-951.097	1272.897	296.862	-1026.917	1274.660	374.053	-950.213	1291.989
1188	11.87000	321.115	-993.093	1316.104	380.421	-1028.036	1297.754	309.557	-952.817	1273.126	300.437	-1028.587	1274.829	377.542	-951.780	1292.064
1189	11.88000	324.630	-994.692	1316.266	384.725	-1031.176	1294.544	313.157	-954.621	1273.315	304.026	-1030.319	1275.112	381.097	-953.374	1292.365
1190	11.89000	328.295	-996.270	1316.579	387.552	-1031.361	1298.176	316.571	-956.286	1273.439	307.536	-1032.091	1275.371	384.662	-954.956	1292.311
1191	11.90000	331.953	-997.918	1316.741	391.128	-1032.914	1298.360	320.064	-957.920	1273.642	311.360	-1033.774	1275.515	387.892	-956.622	1292.248
