NO_OF_FRAMES	1553
NO_OF_CAMERAS	12
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-06-30, 15:14:23.918	1827468.91681710
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5
TRAJECTORY_TYPES	Measured	Measured	Mixed	Mixed	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	
1082	10.81000	3407.940	442.570	1307.209	3362.109	381.023	1291.201	3305.895	429.457	1293.956	3342.560	484.272	1308.166	3347.994	418.066	1333.517
1083	10.82000	3412.517	453.379	1307.794	3366.667	391.798	1291.622	3310.351	440.631	1294.298	3347.086	495.005	1308.856	3352.641	428.851	1334.139
1084	10.83000	3417.082	464.287	1308.143	3371.276	402.449	1292.047	3314.953	451.119	1294.849	3351.714	505.841	1309.431	3357.115	439.637	1334.411
1085	10.84000	3421.716	475.223	1308.692	3375.986	413.507	1292.380	3318.703	461.438	1296.757	3356.305	516.705	1309.776	3361.468	450.254	1334.874
1086	10.85000	3426.402	485.976	1308.987	3380.724	424.435	1292.682	3324.316	472.877	1295.493	3360.929	527.559	1310.140	3366.038	461.060	1335.191
1087	10.86000	3431.186	496.986	1309.480	3385.477	435.399	1292.969	3329.153	484.580	1295.842	3365.755	538.549	1310.651	3370.987	472.044	1335.644
1088	10.87000	3435.979	508.007	1309.715	3390.323	446.229	1293.271	3333.084	494.510	1297.424	3370.636	549.584	1311.056	3375.676	482.953	1335.854
1089	10.88000	3440.855	518.983	1310.346	3395.131	457.238	1293.517	3338.089	505.416	1297.997	3375.417	560.567	1311.321	3380.561	494.027	1336.223
1090	10.89000	3445.725	530.015	1310.642	3400.094	468.369	1293.816	3343.776	517.102	1296.570	3380.322	571.639	1311.628	3385.370	505.053	1336.375
1091	10.90000	3450.684	541.418	1311.178	3405.055	479.699	1294.050	3348.710	528.469	1296.947	3385.259	582.728	1312.034	3390.274	516.173	1336.751
1092	10.91000	3455.621	552.655	1311.452	3410.051	490.905	1294.363	3353.617	539.407	1297.091	3390.264	593.971	1312.418	3395.167	527.227	1336.978
1093	10.92000	3460.622	563.781	1311.923	3415.029	501.848	1294.704	3358.650	551.095	1297.316	3395.126	605.077	1312.711	3400.197	538.407	1337.387
1094	10.93000	3465.513	574.878	1312.152	3420.124	513.060	1294.984	3363.660	561.699	1297.522	3400.080	616.245	1313.122	3404.990	549.482	1337.601
1095	10.94000	3470.470	586.036	1312.743	3425.082	524.264	1295.250	3368.573	572.969	1297.730	3404.945	627.321	1313.429	3409.941	560.695	1337.983
1096	10.95000	3475.343	597.333	1313.185	3430.070	535.521	1295.534	3372.502	583.649	1299.342	3409.904	638.617	1313.903	3414.793	571.899	1338.213
1097	10.96000	3480.328	608.822	1313.727	3435.084	546.995	1295.847	3378.539	595.489	1298.567	3414.675	649.844	1314.240	3419.749	583.099	1338.581
1098	10.97000	3485.207	620.211	1314.004	3440.098	558.318	1296.236	3383.473	606.691	1298.736	3419.623	661.209	1314.711	3424.598	594.346	1338.896
1099	10.98000	3490.257	631.715	1314.637	3445.300	569.747	1296.629	3388.645	618.104	1299.110	3424.508	672.588	1315.079	3429.710	605.786	1339.447
1100	10.99000	3495.385	643.229	1315.248	3450.496	581.050	1297.031	3393.683	629.479	1299.283	3429.525	684.019	1315.558	3434.602	617.094	1339.636
1101	11.00000	3500.431	654.771	1315.663	3455.714	592.636	1297.270	3398.889	641.040	1299.646	3434.470	695.407	1315.795	3439.809	628.653	1340.103
1102	11.01000	3505.572	666.285	1316.280	3460.953	604.052	1297.694	3402.863	652.123	1301.211	3439.680	707.021	1316.342	3444.741	640.069	1340.233
1103	11.02000	3510.617	677.887	1316.724	3466.191	615.829	1298.039	3408.136	663.617	1301.695	3444.613	718.524	1316.687	3449.877	651.615	1340.632
1104	11.03000	3515.666	690.730	1317.217	3471.326	627.308	1298.444	3414.239	675.445	1300.366	3449.666	730.130	1317.170	3454.854	663.149	1341.004
1105	11.04000	3520.654	701.346	1317.723	3476.368	639.068	1298.700	3419.352	687.200	1300.750	3454.571	741.723	1317.519	3459.884	674.789	1341.448
1106	11.05000	3525.624	713.206	1318.312	3481.364	650.641	1299.189	3424.254	698.723	1300.953	3459.477	753.350	1317.937	3464.791	686.406	1341.827
1107	11.06000	3530.403	724.860	1318.667	3486.347	662.433	1299.643	3429.201	710.348	1301.410	3464.216	765.015	1318.288	3469.627	698.048	1342.250
1108	11.07000	3535.336	736.682	1319.319	3491.081	674.151	1300.102	3433.957	722.148	1301.708	3469.118	776.765	1318.827	3474.344	709.770	1342.636
1109	11.08000	3540.021	748.385	1319.770	3495.868	685.905	1300.572	3438.774	733.978	1302.392	3473.940	788.592	1319.389	3479.148	721.614	1343.240
1110	11.09000	3544.826	760.146	1320.354	3500.592	697.589	1301.185	3443.442	745.684	1302.864	3478.623	800.345	1319.756	3483.768	733.350	1343.623
1111	11.10000	3549.532	771.981	1320.732	3505.343	709.601	1301.739	3448.251	757.787	1303.610	3483.288	812.156	1320.206	3488.649	745.284	1344.359
1112	11.11000	3554.299	784.027	1321.358	3510.210	721.300	1302.441	3452.964	769.400	1304.002	3488.098	824.033	1320.859	3493.325	757.115	1344.789
1113	11.12000	3559.060	797.469	1321.930	3514.969	733.276	1303.150	3457.745	781.333	1304.689	3492.957	836.026	1321.648	3498.292	769.088	1345.673
1114	11.13000	3563.770	807.838	1322.744	3519.672	745.335	1303.794	3462.465	794.530	1305.498	3497.555	847.903	1322.333	3503.013	780.957	1346.470
1115	11.14000	3568.371	821.085	1323.470	3524.365	757.089	1304.642	3467.043	805.320	1306.419	3502.154	859.761	1323.247	3507.547	792.804	1347.148
1116	11.15000	3572.876	831.866	1324.518	3529.007	769.000	1305.506	3471.631	817.083	1307.384	3506.424	871.502	1323.942	3512.194	804.700	1348.150
