NO_OF_FRAMES	1617
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-11, 15:26:18.257	1141584.09130630
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5
TRAJECTORY_TYPES	Mixed	Mixed	Measured	Mixed	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	
721	7.20000	-81.154	31.845	1166.991	-135.912	82.729	1165.413	-32.961	93.786	1175.543	-98.559	137.056	1175.779	-94.319	71.716	1206.844
722	7.21000	-83.205	32.495	1171.967	-138.015	83.438	1170.385	-35.014	94.417	1180.692	-100.590	137.536	1180.295	-96.352	72.533	1211.734
723	7.22000	-85.223	33.210	1176.916	-140.032	83.996	1174.945	-37.016	95.132	1185.178	-102.737	138.139	1185.078	-98.378	73.288	1216.328
724	7.23000	-87.252	33.826	1181.196	-142.029	84.801	1179.386	-38.953	95.803	1189.339	-104.701	138.921	1189.085	-100.326	74.126	1220.730
725	7.24000	-89.192	34.534	1185.492	-144.006	85.544	1183.499	-40.896	96.459	1193.283	-106.576	139.656	1192.878	-102.205	74.989	1224.777
726	7.25000	-91.168	35.249	1189.271	-145.932	86.147	1187.211	-42.802	97.139	1196.958	-108.459	140.386	1196.437	-104.085	75.723	1228.660
727	7.26000	-93.000	35.807	1192.743	-147.710	86.826	1190.539	-44.619	97.972	1200.284	-110.248	141.035	1199.618	-105.899	76.419	1232.145
728	7.27000	-94.434	36.637	1195.935	-149.457	87.320	1193.530	-46.403	98.385	1203.092	-111.750	141.779	1202.534	-107.581	77.019	1235.007
729	7.28000	-96.487	36.720	1198.471	-151.059	87.801	1196.269	-47.906	98.723	1205.648	-113.589	141.836	1204.942	-109.200	77.639	1237.661
730	7.29000	-97.819	37.083	1200.957	-152.468	88.092	1198.507	-49.321	99.026	1207.795	-114.952	142.180	1206.940	-110.410	77.888	1239.826
731	7.30000	-98.962	37.211	1202.764	-153.543	88.291	1200.482	-50.437	99.191	1209.383	-115.904	142.502	1209.141	-111.441	78.186	1241.736
732	7.31000	-99.836	37.156	1204.315	-154.319	88.392	1202.394	-51.250	99.177	1210.722	-116.631	142.399	1210.358	-112.030	78.217	1243.341
733	7.32000	-100.503	37.128	1205.370	-154.953	88.253	1203.870	-51.751	98.932	1211.363	-117.218	142.257	1211.903	-112.358	78.094	1244.384
734	7.33000	-100.832	36.925	1206.350	-155.462	88.000	1205.050	-52.097	98.528	1211.863	-117.388	142.256	1212.833	-112.569	77.730	1245.497
735	7.34000	-101.209	36.637	1206.768	-155.811	87.656	1206.079	-52.426	98.367	1212.166	-117.634	141.981	1213.528	-112.730	77.286	1245.960
736	7.35000	-101.393	36.331	1206.909	-156.096	87.334	1206.519	-52.760	97.923	1212.197	-118.019	142.002	1213.978	-112.868	76.815	1246.193
737	7.36000	-101.827	35.715	1206.735	-156.313	86.875	1206.797	-52.940	97.458	1211.956	-118.370	140.879	1214.341	-112.864	76.367	1246.223
738	7.37000	-101.922	35.270	1206.352	-156.432	86.477	1206.891	-53.002	97.112	1211.434	-118.465	140.413	1214.292	-112.777	75.748	1246.044
739	7.38000	-101.876	34.831	1205.746	-156.454	85.878	1206.822	-52.969	96.584	1210.754	-118.502	139.935	1214.196	-112.567	75.248	1245.795
740	7.39000	-101.818	34.308	1205.036	-156.425	85.434	1206.517	-52.946	96.085	1210.136	-118.476	139.330	1213.880	-112.297	74.586	1245.332
741	7.40000	-101.457	33.954	1204.007	-156.372	84.730	1206.170	-52.862	95.672	1209.348	-118.325	138.951	1213.464	-112.141	73.922	1244.626
742	7.41000	-101.211	33.436	1203.006	-156.123	84.286	1205.480	-52.654	95.240	1208.368	-118.209	138.333	1212.857	-111.665	73.173	1243.595
