NO_OF_FRAMES	1617
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-11, 15:26:18.257	1141584.09130630
DATA_INCLUDED	6D
BODY_NAMES	Drone
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
721	7.20000	-88.58083	83.42632	1178.11393	-3.05437	1.00535	6.69311	0.66500	0.99303	0.11546	-0.02361	-0.11653	0.99188	-0.05088	0.01755	0.05328	0.99843	
722	7.21000	-90.63523	84.08370	1183.01450	-3.27059	0.89590	6.66091	0.62408	0.99313	0.11492	-0.02212	-0.11598	0.99174	-0.05486	0.01564	0.05704	0.99825	
723	7.22000	-92.67731	84.75309	1187.68909	-3.37694	0.92734	6.73621	0.65809	0.99297	0.11615	-0.02295	-0.11728	0.99148	-0.05660	0.01618	0.05890	0.99813	
724	7.23000	-94.65227	85.49542	1191.94718	-3.55516	1.05598	6.67864	0.64516	0.99305	0.11494	-0.02548	-0.11628	0.99144	-0.05945	0.01843	0.06200	0.99791	
725	7.24000	-96.57493	86.23650	1195.98593	-3.82300	1.12449	6.63480	0.64531	0.99311	0.11398	-0.02715	-0.11552	0.99124	-0.06397	0.01962	0.06666	0.99758	
726	7.25000	-98.48938	86.92888	1199.70744	-3.95494	1.15333	6.62620	0.65900	0.99312	0.11374	-0.02790	-0.11537	0.99111	-0.06619	0.02013	0.06896	0.99742	
727	7.26000	-100.29495	87.61166	1203.06573	-4.10841	1.14212	6.65094	0.67895	0.99307	0.11410	-0.02805	-0.11580	0.99088	-0.06886	0.01993	0.07163	0.99723	
728	7.27000	-101.92481	88.22801	1206.01964	-4.22529	1.18860	6.64841	0.68901	0.99306	0.11394	-0.02908	-0.11575	0.99075	-0.07079	0.02074	0.07366	0.99707	
729	7.28000	-103.64805	88.54390	1208.59827	-4.38132	1.31271	6.55461	0.64982	0.99320	0.11208	-0.03141	-0.11412	0.99076	-0.07329	0.02291	0.07637	0.99682	
730	7.29000	-104.99414	88.85385	1210.80504	-4.58153	1.36268	6.57830	0.68725	0.99314	0.11231	-0.03270	-0.11453	0.99046	-0.07664	0.02378	0.07985	0.99652	
731	7.30000	-106.05743	89.07596	1212.70127	-4.46962	1.58970	6.53010	0.65234	0.99313	0.11123	-0.03634	-0.11368	0.99074	-0.07428	0.02774	0.07790	0.99658	
732	7.31000	-106.81319	89.06818	1214.22593	-4.66045	1.87963	6.49570	0.64290	0.99305	0.11011	-0.04167	-0.11307	0.99060	-0.07703	0.03280	0.08121	0.99616	
733	7.32000	-107.35676	88.93297	1215.37804	-4.49340	2.36178	6.49851	0.64197	0.99273	0.10962	-0.04969	-0.11308	0.99089	-0.07319	0.04121	0.07828	0.99608	
734	7.33000	-107.66982	88.68778	1216.31843	-4.54543	2.72594	6.44009	0.68780	0.99257	0.10807	-0.05600	-0.11204	0.99099	-0.07343	0.04756	0.07916	0.99573	
735	7.34000	-107.96200	88.38559	1216.90006	-4.41848	3.09671	6.49629	0.65278	0.99213	0.10867	-0.06223	-0.11297	0.99110	-0.07045	0.05402	0.07693	0.99557	
736	7.35000	-108.22703	88.08083	1217.15892	-4.26849	3.32754	6.53308	0.68874	0.99183	0.10917	-0.06598	-0.11359	0.99124	-0.06736	0.05804	0.07430	0.99554	
737	7.36000	-108.46284	87.45873	1217.21046	-4.10324	3.66994	6.57333	0.65144	0.99139	0.10963	-0.07162	-0.11424	0.99140	-0.06377	0.06401	0.07141	0.99539	
738	7.37000	-108.51952	87.00391	1217.00254	-3.95320	4.00859	6.62812	0.67460	0.99089	0.11036	-0.07723	-0.11514	0.99151	-0.06043	0.06991	0.06877	0.99518	
739	7.38000	-108.47336	86.49531	1216.66282	-3.78670	4.36182	6.70329	0.66163	0.99029	0.11148	-0.08308	-0.11639	0.99158	-0.05673	0.07605	0.06585	0.99493	
740	7.39000	-108.39245	85.94845	1216.18019	-3.59889	4.57799	6.73475	0.67688	0.98993	0.11207	-0.08647	-0.11690	0.99173	-0.05300	0.07982	0.06257	0.99484	
741	7.40000	-108.23144	85.44595	1215.52296	-3.31524	4.78370	6.88393	0.62991	0.98933	0.11487	-0.08959	-0.11944	0.99171	-0.04743	0.08339	0.05763	0.99485	
742	7.41000	-107.97264	84.89369	1214.66116	-3.08905	4.98539	6.96178	0.65404	0.98887	0.11638	-0.09267	-0.12075	0.99175	-0.04297	0.08690	0.05368	0.99477	
743	7.42000	-107.53869	84.27699	1213.72978	-2.74289	5.19191	6.89636	0.68922	0.98869	0.11564	-0.09548	-0.11958	0.99215	-0.03665	0.09049	0.04766	0.99476	
744	7.43000	-107.16082	83.67637	1212.84935	-2.44203	5.57647	7.04337	0.64699	0.98776	0.11840	-0.10158	-0.12204	0.99206	-0.03038	0.09717	0.04241	0.99436	
745	7.44000	-106.82771	83.10060	1211.84370	-2.16202	5.69249	6.97181	0.58639	0.98771	0.11758	-0.10297	-0.12078	0.99235	-0.02542	0.09919	0.03754	0.99436	
746	7.45000	-106.54721	82.66127	1210.77247	-1.95544	6.02116	7.16267	0.62646	0.98672	0.12106	-0.10827	-0.12400	0.99206	-0.02078	0.10490	0.03393	0.99390	
747	7.46000	-106.34073	82.32865	1209.73464	-1.68623	6.04804	7.15453	0.64171	0.98669	0.12142	-0.10816	-0.12385	0.99217	-0.01608	0.10536	0.02926	0.99400	
748	7.47000	-106.22914	81.90913	1208.85445	-1.50957	5.99384	7.09572	0.63450	0.98692	0.12075	-0.10684	-0.12285	0.99234	-0.01325	0.10442	0.02620	0.99419	
749	7.48000	-106.12931	81.78732	1207.97955	-1.30742	6.26790	7.19659	0.66081	0.98619	0.12277	-0.11115	-0.12453	0.99218	-0.00896	0.10918	0.02268	0.99376	
750	7.49000	-106.15770	81.54892	1207.04556	-1.16961	6.15376	7.16017	0.65367	0.98648	0.12245	-0.10888	-0.12393	0.99227	-0.00689	0.10720	0.02029	0.99403	
751	7.50000	-106.20315	81.49888	1206.36421	-1.09191	5.94112	7.13857	0.64574	0.98692	0.12229	-0.10505	-0.12360	0.99231	-0.00605	0.10351	0.01895	0.99445	
752	7.51000	-106.28051	81.51386	1205.72181	-0.82897	5.78467	7.08972	0.70601	0.98730	0.12196	-0.10179	-0.12279	0.99243	-0.00192	0.10079	0.01439	0.99480	
753	7.52000	-106.30137	81.62965	1205.24255	-0.87690	5.80472	7.13326	0.67457	0.98717	0.12263	-0.10224	-0.12354	0.99234	-0.00263	0.10114	0.01523	0.99476	
754	7.53000	-106.43239	81.71968	1204.73211	-0.61679	5.67670	7.11861	0.64787	0.98743	0.12286	-0.09948	-0.12332	0.99237	0.00158	0.09892	0.01071	0.99504	
755	7.54000	-106.28043	81.90913	1204.33531	-0.55601	5.49764	7.05807	0.63670	0.98786	0.12195	-0.09627	-0.12231	0.99249	0.00214	0.09580	0.00966	0.99535	
756	7.55000	-106.20488	81.97683	1204.01088	-0.34948	5.38804	7.01238	0.65015	0.98813	0.12151	-0.09394	-0.12154	0.99257	0.00541	0.09390	0.00607	0.99556	
757	7.56000	-105.82953	82.21184	1203.66631	-0.38743	5.21671	6.91496	0.66015	0.98861	0.11978	-0.09107	-0.11990	0.99278	0.00423	0.09092	0.00673	0.99584	
758	7.57000	-105.42779	82.32668	1203.39784	-0.25385	5.22866	6.85896	0.68751	0.98871	0.11902	-0.09101	-0.11893	0.99288	0.00648	0.09113	0.00441	0.99583	
759	7.58000	-104.90774	82.41233	1203.15404	-0.16535	5.19219	6.81731	0.66838	0.98886	0.11844	-0.09020	-0.11822	0.99296	0.00788	0.09050	0.00287	0.99589	
760	7.59000	-104.29511	82.61567	1202.91430	0.09316	5.14071	6.69586	0.68236	0.98918	0.11674	-0.08880	-0.11613	0.99316	0.01206	0.08960	-0.00162	0.99598	
