NO_OF_FRAMES	1863
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-12, 11:28:35.207	1213728.58984590
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	
3570	35.69000	-236.234	-729.247	975.651	-275.518	-666.202	978.019	-173.672	-682.017	989.013	-224.231	-624.310	990.905	-238.556	-690.053	1018.010
3571	35.70000	-236.159	-729.011	975.657	-275.338	-665.786	978.040	-173.553	-681.741	989.121	-224.139	-624.042	990.928	-238.228	-689.873	1017.963
3572	35.71000	-236.048	-728.719	975.661	-275.195	-665.531	977.950	-173.351	-681.444	988.998	-223.902	-623.727	990.846	-238.065	-689.532	1017.971
3573	35.72000	-235.790	-728.434	975.702	-275.018	-665.263	977.962	-173.196	-681.173	988.982	-223.714	-623.440	990.819	-237.937	-689.245	1017.944
3574	35.73000	-235.655	-728.246	975.578	-274.857	-665.130	978.025	-172.928	-680.964	988.825	-223.716	-623.273	991.110	-237.769	-689.199	1017.975
3575	35.74000	-235.511	-727.951	975.509	-274.670	-665.000	978.008	-172.834	-680.773	989.048	-223.487	-623.169	991.134	-237.545	-689.046	1017.979
3576	35.75000	-235.222	-727.790	975.567	-274.455	-664.787	978.029	-172.616	-680.508	989.064	-223.374	-622.770	991.022	-237.593	-688.633	1017.976
3577	35.76000	-235.103	-727.493	975.545	-274.309	-664.579	977.820	-172.356	-680.317	988.878	-223.191	-622.587	990.898	-237.261	-688.383	1017.936
3578	35.77000	-234.826	-727.366	975.414	-274.164	-664.406	977.933	-172.268	-680.186	989.017	-222.957	-622.481	991.208	-237.094	-688.301	1017.924
3579	35.78000	-234.917	-727.235	975.449	-274.343	-664.367	978.065	-172.089	-680.070	988.980	-222.891	-622.300	991.209	-236.968	-688.275	1017.938
3580	35.79000	-234.880	-727.064	975.379	-274.215	-664.103	978.043	-171.987	-679.947	989.106	-222.617	-622.225	991.066	-236.586	-688.327	1017.900
3581	35.80000	-234.654	-726.919	975.469	-273.948	-664.083	978.045	-171.798	-679.732	989.137	-222.310	-621.928	990.874	-236.550	-687.815	1017.967
3582	35.81000	-234.052	-726.817	975.462	-273.329	-663.943	977.761	-171.514	-679.604	989.218	-222.291	-621.956	991.163	-236.349	-687.849	1017.971
3583	35.82000	-233.822	-726.645	975.271	-273.182	-663.811	977.823	-171.257	-679.549	989.125	-222.280	-621.759	991.150	-236.356	-687.798	1017.860
3584	35.83000	-233.689	-726.663	975.157	-272.945	-663.857	977.626	-170.994	-679.381	988.929	-222.021	-621.772	991.158	-236.219	-687.693	1017.878
3585	35.84000	-233.592	-726.576	975.170	-272.631	-663.674	977.745	-170.958	-679.301	989.214	-221.637	-621.723	991.146	-235.739	-687.694	1017.880
3586	35.85000	-233.140	-726.513	975.270	-272.370	-663.542	977.796	-170.758	-679.169	989.307	-221.328	-621.456	990.919	-235.485	-687.324	1017.907
3587	35.86000	-232.922	-726.384	975.348	-272.217	-663.367	977.531	-170.488	-679.105	989.274	-221.309	-621.353	990.968	-235.242	-687.282	1017.847
3588	35.87000	-232.673	-726.428	975.134	-271.993	-663.444	977.500	-170.119	-679.024	989.226	-221.076	-621.406	991.017	-235.285	-687.350	1017.796
