NO_OF_FRAMES	1863
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-12, 11:28:35.207	1213728.58984590
DATA_INCLUDED	6D
BODY_NAMES	Drone
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
3570	35.69000	-229.64240	-678.36584	990.31970	0.79070	0.80868	-8.57562	0.62540	0.98872	-0.14891	-0.01601	0.14910	0.98875	0.01154	0.01411	-0.01380	0.99981	
3571	35.70000	-229.48356	-678.09058	990.34166	0.83036	0.80659	-8.59815	0.65176	0.98866	-0.14929	-0.01608	0.14949	0.98869	0.01222	0.01408	-0.01449	0.99980	
3572	35.71000	-229.31203	-677.79084	990.28520	0.77144	0.84355	-8.62270	0.65654	0.98859	-0.14972	-0.01657	0.14991	0.98864	0.01110	0.01472	-0.01346	0.99980	
3573	35.72000	-229.13114	-677.51098	990.28204	0.74393	0.83685	-8.60877	0.64993	0.98863	-0.14949	-0.01638	0.14967	0.98868	0.01065	0.01461	-0.01298	0.99981	
3574	35.73000	-228.98516	-677.36226	990.30233	0.96397	0.92777	-8.53465	0.64331	0.98880	-0.14812	-0.01851	0.14839	0.98883	0.01423	0.01619	-0.01682	0.99973	
3575	35.74000	-228.80943	-677.18782	990.33550	1.01106	0.82086	-8.54737	0.66274	0.98879	-0.14835	-0.01679	0.14861	0.98878	0.01532	0.01433	-0.01764	0.99974	
3576	35.75000	-228.65192	-676.89760	990.33159	0.88774	0.75941	-8.50625	0.60771	0.98891	-0.14770	-0.01540	0.14790	0.98891	0.01336	0.01325	-0.01549	0.99979	
3577	35.76000	-228.44390	-676.67196	990.21544	0.83167	0.81488	-8.52244	0.62756	0.98886	-0.14798	-0.01621	0.14818	0.98888	0.01225	0.01422	-0.01451	0.99979	
3578	35.77000	-228.26193	-676.54798	990.29909	1.04835	0.75773	-8.51482	0.60118	0.98889	-0.14780	-0.01579	0.14805	0.98885	0.01614	0.01322	-0.01829	0.99975	
3579	35.78000	-228.24170	-676.44931	990.32807	1.05969	0.89219	-8.50978	0.63930	0.98887	-0.14767	-0.01813	0.14796	0.98886	0.01599	0.01557	-0.01849	0.99971	
3580	35.79000	-228.05697	-676.33316	990.29860	1.07927	0.88980	-8.58809	0.72736	0.98867	-0.14901	-0.01817	0.14931	0.98866	0.01631	0.01553	-0.01883	0.99970	
3581	35.80000	-227.85213	-676.09544	990.29831	0.85341	0.84662	-8.59548	0.66758	0.98866	-0.14922	-0.01683	0.14944	0.98869	0.01252	0.01478	-0.01489	0.99978	
3582	35.81000	-227.50700	-676.03369	990.31503	0.99713	0.58786	-8.46142	0.63722	0.98906	-0.14694	-0.01271	0.14714	0.98899	0.01570	0.01026	-0.01740	0.99980	
3583	35.82000	-227.37933	-675.91247	990.24562	1.11429	0.59091	-8.42229	0.61138	0.98916	-0.14624	-0.01305	0.14646	0.98906	0.01773	0.01031	-0.01945	0.99976	
3584	35.83000	-227.17340	-675.87319	990.14951	1.12469	0.59425	-8.40559	0.62090	0.98920	-0.14595	-0.01313	0.14617	0.98910	0.01790	0.01037	-0.01963	0.99975	
3585	35.84000	-226.91114	-675.79376	990.23110	1.14089	0.56847	-8.50049	0.66085	0.98897	-0.14759	-0.01275	0.14781	0.98885	0.01823	0.00992	-0.01991	0.99975	
3586	35.85000	-226.61601	-675.60066	990.23975	0.93459	0.53804	-8.47777	0.61206	0.98903	-0.14725	-0.01169	0.14742	0.98896	0.01475	0.00939	-0.01631	0.99982	
3587	35.86000	-226.43564	-675.49814	990.19341	0.93015	0.45778	-8.44381	0.62340	0.98913	-0.14669	-0.01029	0.14683	0.98905	0.01488	0.00799	-0.01623	0.99984	
3588	35.87000	-226.22937	-675.53050	990.13466	1.05075	0.38449	-8.40353	0.61843	0.98924	-0.14600	-0.00932	0.14614	0.98911	0.01716	0.00671	-0.01834	0.99981	
3589	35.88000	-225.96255	-675.52566	990.13261	1.14140	0.44423	-8.37173	0.63358	0.98931	-0.14541	-0.01057	0.14559	0.98917	0.01858	0.00775	-0.01992	0.99977	
3590	35.89000	-225.70065	-675.53394	990.12900	1.12221	0.57734	-8.44317	0.60747	0.98911	-0.14660	-0.01284	0.14682	0.98900	0.01789	0.01008	-0.01958	0.99976	
3591	35.90000	-225.41194	-675.45705	990.19561	1.03275	0.44609	-8.41867	0.64171	0.98919	-0.14624	-0.01034	0.14640	0.98908	0.01669	0.00779	-0.01802	0.99981	
3592	35.91000	-225.12754	-675.49651	990.13321	1.00598	0.43314	-8.37921	0.56508	0.98930	-0.14557	-0.01004	0.14572	0.98919	0.01627	0.00756	-0.01756	0.99982	
3593	35.92000	-224.91906	-675.52531	990.07321	0.96556	0.40854	-8.38118	0.61001	0.98930	-0.14562	-0.00951	0.14575	0.98920	0.01563	0.00713	-0.01685	0.99983	
3594	35.93000	-224.63339	-675.57066	990.08932	1.06404	0.29166	-8.38945	0.61100	0.98929	-0.14578	-0.00774	0.14590	0.98914	0.01763	0.00509	-0.01857	0.99981	
3595	35.94000	-224.31125	-675.59016	990.14276	1.03449	0.46377	-8.37127	0.58716	0.98931	-0.14542	-0.01064	0.14558	0.98921	0.01668	0.00809	-0.01805	0.99980	
3596	35.95000	-224.09302	-675.61160	990.04811	1.06116	0.34419	-8.38599	0.60991	0.98929	-0.14571	-0.00864	0.14584	0.98915	0.01745	0.00601	-0.01852	0.99981	
3597	35.96000	-223.83913	-675.80094	990.10824	1.14186	0.19125	-8.38095	0.63802	0.98932	-0.14566	-0.00621	0.14575	0.98913	0.01923	0.00334	-0.01993	0.99980	
3598	35.97000	-223.58122	-675.86416	990.15325	1.16419	0.27236	-8.37006	0.64584	0.98934	-0.14544	-0.00766	0.14556	0.98916	0.01941	0.00475	-0.02032	0.99978	
3599	35.98000	-223.26332	-676.01305	990.14559	1.07980	0.30218	-8.39600	0.62994	0.98927	-0.14589	-0.00797	0.14601	0.98912	0.01787	0.00527	-0.01884	0.99981	
3600	35.99000	-222.96749	-676.04854	990.10277	0.88957	0.19618	-8.40916	0.59503	0.98924	-0.14617	-0.00566	0.14624	0.98914	0.01486	0.00342	-0.01553	0.99987	
3601	36.00000	-222.74674	-676.17216	990.12701	0.95615	0.18609	-8.34470	0.61733	0.98941	-0.14505	-0.00563	0.14513	0.98928	0.01604	0.00325	-0.01669	0.99986	
3602	36.01000	-222.48274	-676.34357	990.15985	1.17029	0.18816	-8.30285	0.63544	0.98951	-0.14431	-0.00620	0.14440	0.98932	0.01974	0.00328	-0.02042	0.99979	
3603	36.02000	-222.21829	-676.47892	990.20103	1.14301	0.14898	-8.36435	0.63743	0.98936	-0.14539	-0.00547	0.14547	0.98917	0.01936	0.00260	-0.01995	0.99980	
3604	36.03000	-221.89669	-676.62023	990.17367	0.89137	0.13011	-8.32884	0.60180	0.98945	-0.14480	-0.00450	0.14485	0.98934	0.01506	0.00227	-0.01556	0.99988	
3605	36.04000	-221.62925	-676.63984	990.11785	0.82039	0.03881	-8.27020	0.62347	0.98960	-0.14382	-0.00273	0.14384	0.98950	0.01407	0.00068	-0.01432	0.99990	
3606	36.05000	-221.40598	-676.80810	990.13146	0.91396	0.11375	-8.26680	0.58353	0.98961	-0.14373	-0.00426	0.14378	0.98949	0.01550	0.00199	-0.01595	0.99987	
3607	36.06000	-221.16412	-677.03358	990.18663	0.94592	0.09861	-8.27458	0.62941	0.98959	-0.14387	-0.00408	0.14392	0.98946	0.01609	0.00172	-0.01651	0.99986	
3608	36.07000	-220.86886	-677.22847	990.24039	0.87957	-0.03492	-8.27184	0.66143	0.98960	-0.14386	-0.00161	0.14387	0.98948	0.01528	-0.00061	-0.01535	0.99988	
3609	36.08000	-220.62450	-677.33683	990.31056	0.70721	-0.04908	-8.29243	0.62235	0.98954	-0.14422	-0.00093	0.14423	0.98947	0.01234	-0.00086	-0.01234	0.99992	
3610	36.09000	-220.33212	-677.50443	990.17953	0.68238	0.08270	-8.20703	0.61220	0.98976	-0.14272	-0.00313	0.14275	0.98969	0.01158	0.00144	-0.01191	0.99993	
3611	36.10000	-220.13042	-677.73651	990.13891	0.71857	-0.01230	-8.18752	0.59061	0.98981	-0.14240	-0.00157	0.14241	0.98973	0.01244	-0.00021	-0.01254	0.99992	
3612	36.11000	-219.92894	-677.97001	990.11876	0.73569	0.00480	-8.21053	0.59042	0.98975	-0.14280	-0.00192	0.14281	0.98967	0.01270	0.00008	-0.01284	0.99992	
3613	36.12000	-219.66066	-678.19140	990.15838	0.68251	-0.06160	-8.24996	0.62156	0.98965	-0.14349	-0.00065	0.14349	0.98958	0.01194	-0.00108	-0.01191	0.99993	
3614	36.13000	-219.44713	-678.35840	990.08924	0.38306	-0.08363	-8.25826	0.58613	0.98963	-0.14364	0.00048	0.14364	0.98961	0.00683	-0.00146	-0.00669	0.99998	
3615	36.14000	-219.19387	-678.64340	989.99113	0.43106	-0.08927	-8.30377	0.56685	0.98952	-0.14443	0.00046	0.14442	0.98949	0.00767	-0.00156	-0.00752	0.99997	
3616	36.15000	-218.94912	-678.97543	989.99832	0.63957	-0.15925	-8.26352	0.60665	0.98961	-0.14375	0.00115	0.14373	0.98955	0.01145	-0.00278	-0.01116	0.99993	
3617	36.16000	-218.75555	-679.31135	989.97774	0.60134	-0.12225	-8.22666	0.62999	0.98971	-0.14310	0.00061	0.14309	0.98965	0.01069	-0.00213	-0.01050	0.99994	
3618	36.17000	-218.51801	-679.61569	989.92397	0.46908	-0.10194	-8.26850	0.62804	0.98960	-0.14382	0.00058	0.14381	0.98957	0.00836	-0.00178	-0.00819	0.99996	
3619	36.18000	-218.29596	-679.81922	989.87050	0.28771	-0.24312	-8.28202	0.60319	0.98956	-0.14406	0.00348	0.14404	0.98956	0.00558	-0.00424	-0.00502	0.99998	
3620	36.19000	-218.11483	-680.11362	989.84403	0.29814	-0.18334	-8.22277	0.61723	0.98971	-0.14304	0.00242	0.14302	0.98970	0.00561	-0.00320	-0.00520	0.99998	
3621	36.20000	-217.94369	-680.57125	989.85314	0.46077	-0.21966	-8.24767	0.59976	0.98965	-0.14348	0.00264	0.14345	0.98962	0.00851	-0.00383	-0.00804	0.99996	
3622	36.21000	-217.74534	-680.92614	989.83017	0.45352	-0.21167	-8.25397	0.58894	0.98963	-0.14359	0.00252	0.14356	0.98961	0.00836	-0.00369	-0.00792	0.99996	
3623	36.22000	-217.55781	-681.20226	989.75696	0.15060	-0.23495	-8.17083	0.65227	0.98984	-0.14214	0.00369	0.14212	0.98984	0.00318	-0.00410	-0.00263	0.99999	
3624	36.23000	-217.37233	-681.51236	989.62125	0.06245	-0.22679	-8.18902	0.62572	0.98980	-0.14244	0.00376	0.14244	0.98980	0.00164	-0.00396	-0.00109	0.99999	
3625	36.24000	-217.20391	-681.95816	989.55649	0.09298	-0.25487	-8.23663	0.60664	0.98968	-0.14327	0.00417	0.14326	0.98968	0.00224	-0.00445	-0.00162	0.99999	
3626	36.25000	-217.06319	-682.31814	989.62582	0.31098	-0.27235	-8.19420	0.64922	0.98978	-0.14255	0.00393	0.14253	0.98977	0.00605	-0.00475	-0.00543	0.99997	
3627	36.26000	-216.88118	-682.69399	989.58000	0.33195	-0.31009	-8.22732	0.66287	0.98969	-0.14313	0.00453	0.14310	0.98969	0.00651	-0.00541	-0.00579	0.99997	
3628	36.27000	-216.71642	-683.05629	989.54718	0.18320	-0.24563	-8.17883	0.63264	0.98982	-0.14228	0.00379	0.14226	0.98982	0.00377	-0.00429	-0.00320	0.99999	
