NO_OF_FRAMES	5019
NO_OF_CAMERAS	12
NO_OF_MARKERS	9
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-03-02, 12:21:16.174	703881.88170780
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5	Origin - 1	Origin - 2	Origin - 3	Origin - 4
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	Origin - 1 X	Origin - 1 Y	Origin - 1 Z	Origin - 2 X	Origin - 2 Y	Origin - 2 Z	Origin - 3 X	Origin - 3 Y	Origin - 3 Z	Origin - 4 X	Origin - 4 Y	Origin - 4 Z	
982	9.81000	1033.984	3892.181	200.313	1075.643	3809.447	202.632	1120.426	3837.963	188.478	1111.482	3911.470	184.614	1097.037	3872.659	227.798	209.544	10.244	49.079	10.663	374.994	48.848	10.017	9.892	48.998	574.523	9.966	49.005
983	9.82000	1033.809	3892.268	200.443	1075.731	3809.483	202.788	1120.111	3837.895	188.442	1111.035	3911.420	184.724	1097.071	3872.728	227.855	209.535	10.251	49.094	10.637	374.969	48.857	10.020	9.883	48.989	574.484	9.956	49.004
984	9.83000	1033.579	3892.155	200.399	1075.206	3809.545	202.611	1120.047	3837.931	188.496	1111.094	3911.398	184.538	1096.817	3872.636	227.773	209.506	10.229	49.064	10.652	374.983	48.889	9.991	9.841	48.957	574.555	9.947	48.980
985	9.84000	1033.534	3892.201	199.980	1075.106	3809.592	202.449	1120.322	3838.030	188.437	1109.838	3911.249	185.507	1096.467	3872.580	227.683	209.508	10.217	48.966	10.627	374.981	48.843	10.023	9.864	48.957	574.499	9.991	48.947
986	9.85000	1033.309	3892.195	200.183	1075.246	3809.470	202.361	1119.922	3838.028	188.365	1110.914	3911.448	184.560	1096.661	3872.657	227.646	209.539	10.251	48.969	10.624	374.939	48.867	10.000	9.854	48.958	574.488	9.960	48.948
987	9.86000	1033.238	3892.303	200.433	1075.261	3809.680	202.655	1119.962	3838.072	188.430	1111.372	3911.559	184.432	1096.756	3872.803	227.613	209.480	10.250	48.990	10.610	374.998	48.829	10.009	9.848	48.931	574.449	9.950	48.957
988	9.87000	1033.395	3892.310	200.621	1075.361	3809.648	202.865	1120.036	3838.061	188.563	1111.281	3911.582	184.445	1096.609	3872.896	227.736	209.493	10.221	49.071	10.637	374.954	48.911	10.035	9.895	48.953	574.523	9.981	48.977
989	9.88000	1033.403	3892.262	200.578	1075.500	3809.537	202.718	1119.965	3838.060	188.551	1110.901	3911.508	184.944	1096.839	3872.752	227.850	209.510	10.240	49.026	10.649	374.961	48.886	10.006	9.853	48.962	574.457	9.986	48.943
990	9.89000	1033.384	3892.221	200.405	1075.305	3809.604	202.617	1119.865	3838.072	188.652	1111.081	3911.517	184.859	1096.348	3872.714	227.940	209.532	10.237	49.000	10.606	374.959	48.898	10.007	9.838	48.981	574.502	9.980	48.956
991	9.90000	1033.231	3892.360	200.362	1075.229	3809.664	202.778	1119.806	3838.087	188.638	1110.679	3911.556	184.845	1096.280	3872.715	227.949	209.485	10.218	49.024	10.636	375.010	48.872	10.020	9.831	48.969	574.509	9.997	48.986
