NO_OF_FRAMES	2516
NO_OF_CAMERAS	12
NO_OF_MARKERS	9
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-03-02, 12:43:11.835	705197.54193160
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5	Origin - 1	Origin - 2	Origin - 3	Origin - 4
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	Origin - 1 X	Origin - 1 Y	Origin - 1 Z	Origin - 2 X	Origin - 2 Y	Origin - 2 Z	Origin - 3 X	Origin - 3 Y	Origin - 3 Z	Origin - 4 X	Origin - 4 Y	Origin - 4 Z	
3485	34.84000	547.250	2193.391	205.382	618.271	2119.300	192.826	625.290	2193.351	191.437	567.832	2102.654	207.130	602.772	2158.899	233.110	10.542	374.923	48.773	574.458	10.273	48.736	209.467	10.369	48.917	9.822	9.855	48.868
3486	34.85000	547.294	2193.419	205.397	618.229	2119.275	192.826	625.287	2193.274	191.403	567.825	2102.674	207.144	602.749	2158.871	233.080	10.531	374.921	48.770	574.439	10.328	48.722	209.460	10.366	48.923	9.871	9.849	48.893
3487	34.86000	547.273	2193.429	205.423	618.253	2119.274	192.787	625.309	2193.310	191.468	567.832	2102.633	207.187	602.801	2158.890	233.128	10.499	374.879	48.790	574.420	10.290	48.717	209.458	10.317	48.890	9.857	9.870	48.864
3488	34.87000	547.286	2193.383	205.408	618.231	2119.304	192.770	625.280	2193.269	191.412	567.811	2102.631	207.135	602.797	2158.891	233.122	10.520	374.938	48.751	574.453	10.329	48.726	209.448	10.311	48.891	9.851	9.847	48.795
3489	34.88000	547.269	2193.387	205.356	618.263	2119.314	192.801	625.298	2193.282	191.430	567.846	2102.615	207.155	602.715	2158.867	233.128	10.531	374.964	48.750	574.405	10.254	48.668	209.450	10.326	48.860	9.870	9.814	48.854
3490	34.89000	547.259	2193.381	205.369	618.243	2119.294	192.789	625.260	2193.302	191.415	567.852	2102.639	207.146	602.728	2158.857	233.047	10.520	374.907	48.766	574.447	10.254	48.714	209.471	10.366	48.913	9.854	9.831	48.847
3491	34.90000	547.275	2193.394	205.368	618.243	2119.286	192.768	625.277	2193.308	191.383	567.843	2102.638	207.146	602.700	2158.835	233.064	10.520	374.916	48.804	574.445	10.272	48.701	209.465	10.347	48.915	9.867	9.830	48.860
3492	34.91000	547.263	2193.424	205.358	618.267	2119.283	192.822	625.298	2193.309	191.395	567.813	2102.655	207.136	602.661	2158.846	233.064	10.486	374.943	48.755	574.432	10.249	48.746	209.481	10.346	48.957	9.856	9.842	48.828
3493	34.92000	547.268	2193.410	205.409	618.245	2119.300	192.826	625.269	2193.316	191.408	567.841	2102.641	207.158	602.704	2158.883	233.073	10.533	374.932	48.781	574.444	10.288	48.750	209.454	10.332	48.898	9.870	9.886	48.861
3494	34.93000	547.301	2193.422	205.460	618.292	2119.349	192.850	625.283	2193.291	191.415	567.852	2102.612	207.172	602.760	2158.883	233.124	10.491	374.893	48.767	574.409	10.325	48.715	209.441	10.276	48.930	9.855	9.876	48.822
3495	34.94000	547.267	2193.437	205.473	618.287	2119.295	192.823	625.324	2193.324	191.479	567.837	2102.647	207.152	602.764	2158.915	233.172	10.528	374.944	48.754	574.407	10.291	48.699	209.449	10.312	48.889	9.877	9.844	48.829
3496	34.95000	547.246	2193.351	205.381	618.229	2119.334	192.807	625.275	2193.323	191.444	567.861	2102.641	207.225	602.756	2158.879	233.102	10.470	374.925	48.769	574.275	10.291	48.690	209.414	10.348	48.885	9.883	9.862	48.814
3497	34.96000	547.246	2193.361	205.353	618.277	2119.301	192.814	625.305	2193.334	191.443	567.861	2102.658	207.238	602.786	2158.921	233.165	10.485	374.921	48.739	574.292	10.267	48.682	209.459	10.293	48.855	9.840	9.843	48.842
3498	34.97000	547.269	2193.391	205.379	618.252	2119.345	192.849	625.284	2193.371	191.448	567.880	2102.656	207.215	602.712	2158.864	233.104	10.524	374.861	48.756	574.423	10.278	48.766	209.473	10.332	48.917	9.872	9.868	48.869
3499	34.98000	547.214	2193.382	205.414	618.237	2119.323	192.800	625.258	2193.292	191.393	567.877	2102.632	207.143	602.794	2158.899	233.163	10.528	374.883	48.795	574.322	10.251	48.719	209.479	10.326	48.917	9.867	9.865	48.846
3500	34.99000	547.247	2193.378	205.373	618.300	2119.333	192.839	625.325	2193.346	191.402	567.870	2102.628	207.234	602.764	2158.889	233.150	10.530	374.883	48.759	574.396	10.289	48.712	209.482	10.317	48.960	9.886	9.809	48.901
3501	35.00000	547.248	2193.409	205.435	618.248	2119.323	192.854	625.279	2193.329	191.497	567.867	2102.652	207.213	602.787	2158.909	233.213	10.528	374.863	48.832	574.423	10.307	48.710	209.448	10.353	48.968	9.903	9.919	48.872
3502	35.01000	547.243	2193.382	205.479	618.274	2119.314	192.866	625.288	2193.328	191.461	567.863	2102.640	207.229	602.742	2158.912	233.123	10.498	374.936	48.799	574.410	10.298	48.712	209.454	10.342	48.912	9.855	9.843	48.893
