NO_OF_FRAMES	2516
NO_OF_CAMERAS	12
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-03-02, 12:43:11.835	705197.54193160
DATA_INCLUDED	6D
BODY_NAMES	Drone	Origin
BODY_FILTERS	No filter	No filter
TRANSLATION_ORIGIN	Global	Global	
ROTATION_ORIGIN	Global	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		Origin X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
3485	34.84000	589.70143	2152.73359	199.55587	24.73362	2.72424	-67.50658	2.81072	0.38214	-0.83156	-0.40309	0.92288	0.36585	0.12019	0.04753	-0.41793	0.90724		201.07208	101.35524	48.82358	-0.01824	0.02100	0.02383	0.08266	1.00000	0.00042	-0.00037	-0.00042	1.00000	-0.00032	0.00037	0.00032	1.00000	
3486	34.85000	589.69168	2152.71746	199.54996	24.72174	2.72974	-67.55614	2.80556	0.38134	-0.83194	-0.40305	0.92321	0.36520	0.11968	0.04762	-0.41774	0.90732		201.07537	101.36606	48.82704	-0.02232	0.02493	0.02882	0.07977	1.00000	0.00050	-0.00044	-0.00050	1.00000	-0.00039	0.00044	0.00039	1.00000	
3487	34.86000	589.70695	2152.72337	199.57917	24.73955	2.74937	-67.54993	2.81866	0.38144	-0.83172	-0.40341	0.92315	0.36538	0.11955	0.04797	-0.41801	0.90717		201.05855	101.33898	48.81545	-0.01381	0.02222	0.02789	0.07529	1.00000	0.00049	-0.00039	-0.00049	1.00000	-0.00024	0.00039	0.00024	1.00000	
3488	34.87000	589.69355	2152.71201	199.55032	24.74100	2.75869	-67.55183	2.80658	0.38141	-0.83170	-0.40350	0.92315	0.36541	0.11941	0.04813	-0.41803	0.90716		201.06816	101.35611	48.79069	-0.01206	0.01520	0.02846	0.08799	1.00000	0.00050	-0.00027	-0.00050	1.00000	-0.00021	0.00027	0.00021	1.00000	
3489	34.88000	589.69780	2152.70631	199.55255	24.71957	2.71157	-67.50730	2.80411	0.38214	-0.83170	-0.40281	0.92289	0.36579	0.12028	0.04731	-0.41771	0.90735		201.06384	101.33980	48.78281	-0.01808	0.02610	0.02267	0.07590	1.00000	0.00040	-0.00046	-0.00040	1.00000	-0.00032	0.00046	0.00032	1.00000	
3490	34.89000	589.68455	2152.70847	199.53309	24.72595	2.74254	-67.51649	2.80774	0.38198	-0.83162	-0.40311	0.92293	0.36585	0.11980	0.04785	-0.41780	0.90728		201.07319	101.33949	48.80988	-0.01727	0.02155	0.02548	0.06794	1.00000	0.00044	-0.00038	-0.00044	1.00000	-0.00030	0.00038	0.00030	1.00000	
3491	34.90000	589.68299	2152.70637	199.52589	24.72759	2.74152	-67.52946	2.80764	0.38177	-0.83170	-0.40315	0.92302	0.36565	0.11973	0.04783	-0.41783	0.90727		201.07425	101.34128	48.81989	-0.01326	0.02410	0.02644	0.06923	1.00000	0.00046	-0.00042	-0.00046	1.00000	-0.00023	0.00042	0.00023	1.00000	
3492	34.91000	589.68031	2152.71732	199.53306	24.71870	2.69720	-67.52347	2.79867	0.38188	-0.83185	-0.40274	0.92301	0.36546	0.12037	0.04706	-0.41770	0.90737		201.06368	101.34499	48.82134	-0.01894	0.01711	0.02507	0.05957	1.00000	0.00044	-0.00030	-0.00044	1.00000	-0.00033	0.00030	0.00033	1.00000	
3493	34.92000	589.68128	2152.72342	199.55475	24.72237	2.74091	-67.52423	2.80382	0.38186	-0.83170	-0.40306	0.92298	0.36573	0.11975	0.04782	-0.41774	0.90731		201.07516	101.35937	48.82265	-0.01476	0.01852	0.02421	0.07523	1.00000	0.00042	-0.00032	-0.00042	1.00000	-0.00026	0.00032	0.00026	1.00000	
3494	34.93000	589.71105	2152.72592	199.58486	24.73082	2.76017	-67.52961	2.78466	0.38176	-0.83162	-0.40331	0.92301	0.36577	0.11948	0.04816	-0.41787	0.90723		201.04893	101.34250	48.80842	-0.01535	0.01943	0.02939	0.08770	1.00000	0.00051	-0.00034	-0.00051	1.00000	-0.00027	0.00034	0.00027	1.00000	
3495	34.94000	589.71161	2152.74234	199.59881	24.76180	2.73289	-67.53460	2.81121	0.38169	-0.83151	-0.40361	0.92306	0.36545	0.12004	0.04768	-0.41837	0.90702		201.06539	101.34777	48.79253	-0.01591	0.02103	0.02503	0.07826	1.00000	0.00044	-0.00037	-0.00044	1.00000	-0.00028	0.00037	0.00028	1.00000	
3496	34.95000	589.68849	2152.71616	199.57243	24.70449	2.76099	-67.50565	2.81236	0.38215	-0.83165	-0.40288	0.92284	0.36618	0.11947	0.04817	-0.41745	0.90742		201.01042	101.35673	48.78931	-0.01173	0.02060	0.02538	0.07708	1.00000	0.00044	-0.00036	-0.00044	1.00000	-0.00020	0.00036	0.00020	1.00000	
3497	34.96000	589.71222	2152.72326	199.58269	24.68180	2.74265	-67.50015	2.82294	0.38224	-0.83183	-0.40243	0.92282	0.36618	0.11963	0.04785	-0.41710	0.90760		201.01909	101.33113	48.77948	-0.01788	0.02342	0.02402	0.08630	1.00000	0.00042	-0.00041	-0.00042	1.00000	-0.00031	0.00041	0.00031	1.00000	
3498	34.97000	589.69806	2152.73626	199.57826	24.70852	2.73159	-67.49135	2.80823	0.38239	-0.83162	-0.40273	0.92277	0.36618	0.12002	0.04766	-0.41753	0.90741		201.07304	101.33468	48.82694	-0.02049	0.01790	0.02705	0.07563	1.00000	0.00047	-0.00031	-0.00047	1.00000	-0.00036	0.00031	0.00036	1.00000	
3499	34.98000	589.68942	2152.71852	199.56386	24.72589	2.77649	-67.51084	2.81074	0.38206	-0.83149	-0.40330	0.92287	0.36616	0.11934	0.04844	-0.41779	0.90725		201.04900	101.33108	48.81919	-0.01272	0.02095	0.02265	0.08157	1.00000	0.00040	-0.00037	-0.00040	1.00000	-0.00022	0.00037	0.00022	1.00000	
3500	34.99000	589.71802	2152.72264	199.57993	24.68123	2.74899	-67.49541	2.80441	0.38232	-0.83179	-0.40245	0.92279	0.36629	0.11957	0.04796	-0.41709	0.90760		201.07369	101.32451	48.83302	-0.02779	0.02743	0.02875	0.07961	1.00000	0.00050	-0.00048	-0.00050	1.00000	-0.00048	0.00048	0.00048	1.00000	
3501	35.00000	589.70276	2152.73803	199.62191	24.72758	2.74117	-67.50970	2.81771	0.38209	-0.83157	-0.40311	0.92289	0.36594	0.11988	0.04782	-0.41783	0.90727		201.07548	101.36055	48.84556	-0.01342	0.02518	0.02707	0.07908	1.00000	0.00047	-0.00044	-0.00047	1.00000	-0.00023	0.00044	0.00023	1.00000	
3502	35.01000	589.69571	2152.72746	199.61243	24.71787	2.76879	-67.51227	2.80542	0.38204	-0.83158	-0.40314	0.92288	0.36610	0.11939	0.04831	-0.41766	0.90732		201.05430	101.35458	48.82890	-0.01735	0.02570	0.02718	0.07225	1.00000	0.00047	-0.00045	-0.00047	1.00000	-0.00030	0.00045	0.00030	1.00000	
3503	35.02000	589.68621	2152.73552	199.61598	24.73203	2.73174	-67.51491	2.81670	0.38201	-0.83160	-0.40312	0.92293	0.36579	0.12001	0.04766	-0.41790	0.90724		201.06932	101.32807	48.82284	-0.02192	0.02334	0.02955	0.08791	1.00000	0.00052	-0.00041	-0.00052	1.00000	-0.00038	0.00041	0.00038	1.00000	
3504	35.03000	589.70385	2152.74044	199.59533	24.74147	2.75657	-67.52902	2.80999	0.38177	-0.83156	-0.40344	0.92300	0.36573	0.11960	0.04809	-0.41804	0.90715		201.07951	101.35302	48.82835	-0.01863	0.02312	0.02993	0.06871	1.00000	0.00052	-0.00040	-0.00052	1.00000	-0.00032	0.00040	0.00033	1.00000	
3505	35.04000	589.69010	2152.71671	199.62009	24.67340	2.70850	-67.51875	2.79165	0.38195	-0.83210	-0.40214	0.92297	0.36570	0.11995	0.04725	-0.41698	0.90769		201.07983	101.34774	48.81118	-0.01589	0.02198	0.01984	0.06985	1.00000	0.00035	-0.00038	-0.00035	1.00000	-0.00028	0.00038	0.00028	1.00000	
3506	35.05000	589.67325	2152.70467	199.56907	24.69906	2.72887	-67.51350	2.79954	0.38203	-0.83183	-0.40263	0.92292	0.36586	0.11985	0.04761	-0.41738	0.90748		201.08675	101.36111	48.83210	-0.02052	0.02073	0.02923	0.07660	1.00000	0.00051	-0.00036	-0.00051	1.00000	-0.00036	0.00036	0.00036	1.00000	
3507	35.06000	589.65599	2152.71426	199.57704	24.73322	2.72799	-67.53101	2.80804	0.38175	-0.83171	-0.40315	0.92304	0.36553	0.11996	0.04759	-0.41792	0.90724		201.03812	101.34865	48.79635	-0.02309	0.02860	0.02337	0.07007	1.00000	0.00041	-0.00050	-0.00041	1.00000	-0.00040	0.00050	0.00040	1.00000	
3508	35.07000	589.66964	2152.70094	199.54589	24.71470	2.70378	-67.54745	2.79144	0.38149	-0.83201	-0.40277	0.92317	0.36516	0.12008	0.04717	-0.41763	0.90739		201.05695	101.33158	48.79979	-0.01427	0.01751	0.02809	0.08522	1.00000	0.00049	-0.00031	-0.00049	1.00000	-0.00025	0.00031	0.00025	1.00000	
3509	35.08000	589.67336	2152.71583	199.58156	24.70974	2.73236	-67.55996	2.78242	0.38128	-0.83204	-0.40290	0.92323	0.36518	0.11954	0.04767	-0.41755	0.90740		201.06256	101.33920	48.78558	-0.01910	0.02190	0.02553	0.08389	1.00000	0.00045	-0.00038	-0.00045	1.00000	-0.00033	0.00038	0.00033	1.00000	
3510	35.09000	589.69512	2152.75087	199.62490	24.72340	2.75032	-67.57549	2.81527	0.38103	-0.83200	-0.40324	0.92332	0.36505	0.11925	0.04798	-0.41776	0.90729		201.07885	101.34062	48.80478	-0.00975	0.01822	0.02787	0.07659	1.00000	0.00049	-0.00032	-0.00049	1.00000	-0.00017	0.00032	0.00017	1.00000	
3511	35.10000	589.71603	2152.75945	199.63112	24.73133	2.72157	-67.55802	2.82061	0.38132	-0.83191	-0.40314	0.92322	0.36509	0.11985	0.04748	-0.41789	0.90726		201.08628	101.35770	48.83105	-0.01329	0.02439	0.02428	0.06052	1.00000	0.00042	-0.00043	-0.00042	1.00000	-0.00023	0.00043	0.00023	1.00000	
3512	35.11000	589.68990	2152.73031	199.57709	24.70914	2.71670	-67.56342	2.79534	0.38123	-0.83211	-0.40280	0.92326	0.36503	0.11974	0.04740	-0.41754	0.90742		201.03784	101.34037	48.81513	-0.02203	0.02147	0.02498	0.08437	1.00000	0.00044	-0.00037	-0.00044	1.00000	-0.00038	0.00037	0.00038	1.00000	
3513	35.12000	589.66866	2152.71959	199.56542	24.72026	2.71111	-67.54501	2.80800	0.38153	-0.83193	-0.40289	0.92315	0.36524	0.12002	0.04730	-0.41772	0.90734		201.05053	101.31013	48.80139	-0.00730	0.01417	0.02742	0.06792	1.00000	0.00048	-0.00025	-0.00048	1.00000	-0.00013	0.00025	0.00013	1.00000	
3514	35.13000	589.67527	2152.71564	199.56155	24.70212	2.71744	-67.55804	2.83403	0.38132	-0.83213	-0.40269	0.92323	0.36513	0.11972	0.04741	-0.41743	0.90747		201.08067	101.34308	48.81490	-0.01462	0.02135	0.02522	0.06939	1.00000	0.00044	-0.00037	-0.00044	1.00000	-0.00025	0.00037	0.00026	1.00000	
3515	35.14000	589.68595	2152.71044	199.55814	24.71136	2.72790	-67.55141	2.81365	0.38142	-0.83199	-0.40288	0.92318	0.36527	0.11967	0.04759	-0.41757	0.90740		201.08208	101.33725	48.81429	-0.01828	0.01943	0.02978	0.07683	1.00000	0.00052	-0.00034	-0.00052	1.00000	-0.00032	0.00034	0.00032	1.00000	
3516	35.15000	589.70389	2152.71325	199.57505	24.74681	2.74518	-67.53699	2.81824	0.38165	-0.83160	-0.40347	0.92307	0.36553	0.11975	0.04789	-0.41813	0.90712		201.05902	101.33389	48.83774	-0.00963	0.02465	0.02387	0.05621	1.00000	0.00042	-0.00043	-0.00042	1.00000	-0.00017	0.00043	0.00017	1.00000	
3517	35.16000	589.71237	2152.72476	199.59402	24.71929	2.76659	-67.55898	2.81736	0.38129	-0.83187	-0.40324	0.92320	0.36541	0.11911	0.04827	-0.41769	0.90731		201.09118	101.36833	48.82977	-0.01235	0.02325	0.02577	0.06555	1.00000	0.00045	-0.00041	-0.00045	1.00000	-0.00022	0.00041	0.00022	1.00000	
