NO_OF_FRAMES	6000
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-12, 14:06:56.892	1223230.27508510
DATA_INCLUDED	3D
MARKER_NAMES	DroneElCapitan - 1	DroneElCapitan - 2	DroneElCapitan - 3	DroneElCapitan - 4	DroneElCapitan - 5
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	DroneElCapitan - 1 X	DroneElCapitan - 1 Y	DroneElCapitan - 1 Z	DroneElCapitan - 2 X	DroneElCapitan - 2 Y	DroneElCapitan - 2 Z	DroneElCapitan - 3 X	DroneElCapitan - 3 Y	DroneElCapitan - 3 Z	DroneElCapitan - 4 X	DroneElCapitan - 4 Y	DroneElCapitan - 4 Z	DroneElCapitan - 5 X	DroneElCapitan - 5 Y	DroneElCapitan - 5 Z	
1	0.00000	785.597	-377.529	68.222	37.734	467.914	67.707	810.691	402.475	73.932	743.367	-329.793	70.909	-5.749	-316.362	72.150
2	0.01000	785.583	-377.421	68.234	37.681	467.980	67.698	810.688	402.485	73.954	743.350	-329.763	70.945	-5.756	-316.390	72.213
3	0.02000	785.592	-377.452	68.219	37.726	467.894	67.729	810.672	402.459	73.915	743.387	-329.803	70.931	-5.732	-316.330	72.195
4	0.03000	785.576	-377.497	68.198	37.742	467.915	67.669	810.756	402.687	74.078	743.386	-329.774	70.889	-5.725	-316.364	72.156
5	0.04000	785.591	-377.496	68.229	37.731	467.971	67.684	810.661	402.425	73.932	743.387	-329.748	70.903	-5.722	-316.367	72.185
6	0.05000	785.615	-377.488	68.222	37.715	467.925	67.655	810.664	402.439	73.961	743.363	-329.807	70.896	-5.774	-316.387	72.162
7	0.06000	785.576	-377.612	68.236	37.733	467.830	67.739	810.739	402.357	73.941	743.334	-329.861	70.937	-5.811	-316.445	72.185
8	0.07000	785.625	-377.765	68.041	37.674	467.846	67.655	810.613	402.360	73.826	743.398	-330.101	70.763	-5.830	-316.496	72.023
9	0.08000	785.754	-377.563	68.246	37.711	467.879	67.626	810.748	402.720	74.116	743.446	-329.832	70.961	-5.770	-316.301	72.146
10	0.09000	785.684	-377.585	68.200	37.675	467.871	67.620	810.712	402.621	74.104	743.434	-329.875	70.883	-5.749	-316.347	72.115
11	0.10000	785.515	-377.461	68.088	37.684	467.832	67.538	810.641	402.500	73.986	743.277	-329.740	70.820	-5.777	-316.358	72.034
