NO_OF_FRAMES	6000
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-12, 14:06:56.892	1223230.27508510
DATA_INCLUDED	6D
BODY_NAMES	Drone	DroneElCapitan
BODY_FILTERS	No filter	No filter
TRANSLATION_ORIGIN	Global	Global	
ROTATION_ORIGIN	Global	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		DroneElCapitan X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00000																		474.32805	-30.65901	70.58420	-0.09034	-0.02501	-5.16014	3.20469	0.99595	-0.08994	0.00058	0.08994	0.99595	-0.00153	-0.00044	0.00158	1.00000	
2	0.01000																		474.30917	-30.62171	70.60889	-0.09264	-0.02416	-5.15828	3.21969	0.99595	-0.08991	0.00057	0.08991	0.99595	-0.00157	-0.00042	0.00162	1.00000	
3	0.02000																		474.32891	-30.64641	70.59784	-0.09201	-0.02213	-5.15892	3.19654	0.99595	-0.08992	0.00053	0.08992	0.99595	-0.00156	-0.00039	0.00161	1.00000	
4	0.03000																		474.34696	-30.60665	70.59781	-0.08502	-0.02995	-5.15772	3.21659	0.99595	-0.08990	0.00065	0.08990	0.99595	-0.00143	-0.00052	0.00148	1.00000	
5	0.04000																		474.32970	-30.64293	70.58653	-0.09222	-0.02415	-5.15980	3.21746	0.99595	-0.08993	0.00056	0.08993	0.99595	-0.00157	-0.00042	0.00161	1.00000	
6	0.05000																		474.31662	-30.66370	70.57933	-0.09106	-0.02677	-5.15922	3.20481	0.99595	-0.08992	0.00061	0.08992	0.99595	-0.00154	-0.00047	0.00159	1.00000	
7	0.06000																		474.31424	-30.74623	70.60769	-0.09086	-0.02364	-5.16262	3.19762	0.99594	-0.08998	0.00055	0.08998	0.99594	-0.00154	-0.00041	0.00159	1.00000	
8	0.07000																		474.29606	-30.83112	70.46178	-0.08531	-0.02206	-5.16183	3.19519	0.99594	-0.08997	0.00052	0.08997	0.99594	-0.00145	-0.00039	0.00149	1.00000	
9	0.08000																		474.37790	-30.61935	70.61904	-0.08732	-0.03537	-5.15593	3.16769	0.99595	-0.08987	0.00075	0.08987	0.99595	-0.00146	-0.00062	0.00152	1.00000	
10	0.09000																		474.35118	-30.66308	70.58452	-0.08436	-0.03409	-5.15649	3.18156	0.99595	-0.08988	0.00072	0.08988	0.99595	-0.00141	-0.00060	0.00147	1.00000	
11	0.10000																		474.26812	-30.64542	70.49309	-0.08547	-0.03253	-5.15770	3.20444	0.99595	-0.08990	0.00070	0.08990	0.99595	-0.00143	-0.00057	0.00149	1.00000	
12	0.11000																		474.26701	-30.63376	70.50141	-0.08786	-0.02661	-5.16027	3.19935	0.99595	-0.08994	0.00060	0.08994	0.99595	-0.00149	-0.00046	0.00153	1.00000	
13	0.12000																		474.28218	-30.59394	70.53823	-0.08855	-0.02636	-5.15970	3.21586	0.99595	-0.08993	0.00060	0.08993	0.99595	-0.00150	-0.00046	0.00155	1.00000	
14	0.13000																		474.28028	-30.58607	70.53686	-0.08696	-0.02677	-5.15803	3.20676	0.99595	-0.08990	0.00060	0.08990	0.99595	-0.00147	-0.00047	0.00152	1.00000	
15	0.14000																		474.26810	-30.62293	70.50935	-0.08749	-0.03119	-5.15816	3.22131	0.99595	-0.08990	0.00068	0.08991	0.99595	-0.00147	-0.00054	0.00153	1.00000	
16	0.15000																		474.28399	-30.63003	70.52585	-0.09266	-0.02535	-5.16047	3.19470	0.99595	-0.08994	0.00059	0.08995	0.99595	-0.00157	-0.00044	0.00162	1.00000	
17	0.16000																		474.27679	-30.64621	70.51238	-0.08626	-0.02918	-5.15842	3.20843	0.99595	-0.08991	0.00064	0.08991	0.99595	-0.00145	-0.00051	0.00151	1.00000	
18	0.17000																		474.25265	-30.64160	70.48094	-0.08917	-0.02884	-5.15859	3.21305	0.99595	-0.08991	0.00064	0.08991	0.99595	-0.00150	-0.00050	0.00156	1.00000	
19	0.18000																		474.25759	-30.63027	70.49957	-0.08713	-0.02758	-5.15734	3.21026	0.99595	-0.08989	0.00062	0.08989	0.99595	-0.00147	-0.00048	0.00152	1.00000	
20	0.19000																		474.29154	-30.59449	70.56549	-0.08597	-0.02846	-5.15721	3.21127	0.99595	-0.08989	0.00063	0.08989	0.99595	-0.00145	-0.00050	0.00150	1.00000	
21	0.20000																		474.27836	-30.60527	70.50648	-0.08648	-0.02874	-5.15772	3.20137	0.99595	-0.08990	0.00064	0.08990	0.99595	-0.00146	-0.00050	0.00151	1.00000	
22	0.21000																		474.25925	-30.64853	70.46241	-0.08622	-0.03116	-5.15690	3.21719	0.99595	-0.08988	0.00068	0.08988	0.99595	-0.00145	-0.00054	0.00150	1.00000	
23	0.22000																		474.25989	-30.60930	70.48286	-0.08422	-0.03122	-5.15919	3.20669	0.99595	-0.08992	0.00067	0.08992	0.99595	-0.00141	-0.00054	0.00147	1.00000	
24	0.23000																		474.27005	-30.58588	70.51790	-0.08742	-0.02923	-5.15837	3.20963	0.99595	-0.08991	0.00065	0.08991	0.99595	-0.00147	-0.00051	0.00153	1.00000	
25	0.24000																		474.25991	-30.64670	70.50639	-0.08720	-0.02875	-5.15741	3.21051	0.99595	-0.08989	0.00064	0.08989	0.99595	-0.00147	-0.00050	0.00152	1.00000	
26	0.25000																		474.25384	-30.63395	70.48867	-0.08619	-0.03020	-5.15783	3.21494	0.99595	-0.08990	0.00066	0.08990	0.99595	-0.00145	-0.00053	0.00150	1.00000	
27	0.26000																		474.27542	-30.63375	70.50322	-0.08487	-0.03150	-5.15905	3.20315	0.99595	-0.08992	0.00068	0.08992	0.99595	-0.00143	-0.00055	0.00148	1.00000	
28	0.27000																		474.27251	-30.60175	70.48140	-0.08595	-0.03008	-5.15638	3.20991	0.99595	-0.08987	0.00066	0.08987	0.99595	-0.00145	-0.00052	0.00150	1.00000	
29	0.28000																		474.25077	-30.63614	70.45535	-0.08671	-0.03181	-5.15785	3.20705	0.99595	-0.08990	0.00069	0.08990	0.99595	-0.00146	-0.00056	0.00151	1.00000	
30	0.29000																		474.24920	-30.63823	70.46982	-0.08840	-0.03080	-5.15603	3.20280	0.99595	-0.08987	0.00067	0.08987	0.99595	-0.00149	-0.00054	0.00154	1.00000	
31	0.30000																		474.27971	-30.60513	70.52338	-0.08938	-0.02801	-5.16057	3.19865	0.99595	-0.08995	0.00063	0.08995	0.99595	-0.00151	-0.00049	0.00156	1.00000	
32	0.31000																		474.26570	-30.60467	70.49711	-0.08919	-0.02989	-5.15742	3.20117	0.99595	-0.08989	0.00066	0.08989	0.99595	-0.00150	-0.00052	0.00156	1.00000	
33	0.32000																		474.25934	-30.64902	70.45976	-0.08908	-0.02895	-5.15827	3.21417	0.99595	-0.08991	0.00064	0.08991	0.99595	-0.00150	-0.00051	0.00155	1.00000	
34	0.33000																		474.26492	-30.62209	70.46809	-0.08706	-0.03120	-5.15748	3.21235	0.99595	-0.08989	0.00068	0.08989	0.99595	-0.00146	-0.00054	0.00152	1.00000	
35	0.34000																		474.26880	-30.61162	70.49969	-0.08725	-0.03244	-5.15663	3.21047	0.99595	-0.08988	0.00070	0.08988	0.99595	-0.00147	-0.00057	0.00152	1.00000	
36	0.35000																		474.26091	-30.65241	70.48982	-0.08473	-0.03026	-5.15730	3.20831	0.99595	-0.08989	0.00066	0.08989	0.99595	-0.00143	-0.00053	0.00148	1.00000	
37	0.36000																		474.24567	-30.67074	70.46315	-0.08543	-0.02926	-5.15518	3.21842	0.99595	-0.08985	0.00064	0.08985	0.99595	-0.00144	-0.00051	0.00149	1.00000	
38	0.37000																		474.27439	-30.63727	70.48462	-0.08951	-0.02839	-5.15897	3.21029	0.99595	-0.08992	0.00063	0.08992	0.99595	-0.00151	-0.00050	0.00156	1.00000	
39	0.38000																		474.27953	-30.60685	70.50385	-0.08554	-0.03021	-5.15839	3.21292	0.99595	-0.08991	0.00066	0.08991	0.99595	-0.00144	-0.00053	0.00149	1.00000	
40	0.39000																		474.26258	-30.63214	70.47403	-0.08379	-0.03224	-5.15889	3.20651	0.99595	-0.08992	0.00069	0.08992	0.99595	-0.00141	-0.00056	0.00146	1.00000	
41	0.40000																		474.25821	-30.64130	70.46963	-0.08495	-0.03066	-5.15688	3.19898	0.99595	-0.08988	0.00067	0.08988	0.99595	-0.00143	-0.00054	0.00148	1.00000	
42	0.41000																		474.27913	-30.61762	70.50688	-0.08562	-0.03032	-5.15864	3.20827	0.99595	-0.08991	0.00066	0.08991	0.99595	-0.00144	-0.00053	0.00149	1.00000	
43	0.42000																		474.26247	-30.63855	70.49633	-0.08508	-0.03208	-5.15687	3.21433	0.99595	-0.08988	0.00069	0.08988	0.99595	-0.00143	-0.00056	0.00148	1.00000	
44	0.43000																		474.27006	-30.67399	70.45443	-0.08556	-0.02980	-5.15813	3.20836	0.99595	-0.08990	0.00065	0.08990	0.99595	-0.00144	-0.00052	0.00149	1.00000	
45	0.44000																		474.25320	-30.65699	70.45967	-0.08477	-0.03173	-5.15813	3.20686	0.99595	-0.08990	0.00068	0.08990	0.99595	-0.00142	-0.00055	0.00148	1.00000	
46	0.45000																		474.27835	-30.61926	70.49030	-0.09098	-0.02474	-5.15945	3.21376	0.99595	-0.08993	0.00057	0.08993	0.99595	-0.00154	-0.00043	0.00159	1.00000	
47	0.46000																		474.26576	-30.61122	70.46540	-0.08796	-0.03009	-5.15736	3.20584	0.99595	-0.08989	0.00066	0.08989	0.99595	-0.00148	-0.00053	0.00154	1.00000	
48	0.47000																		474.25558	-30.66213	70.45385	-0.08503	-0.02878	-5.15843	3.19602	0.99595	-0.08991	0.00063	0.08991	0.99595	-0.00143	-0.00050	0.00148	1.00000	
49	0.48000																		474.26613	-30.62145	70.49940	-0.08612	-0.02951	-5.15876	3.21343	0.99595	-0.08991	0.00065	0.08992	0.99595	-0.00145	-0.00052	0.00150	1.00000	
50	0.49000																		474.27784	-30.58937	70.52320	-0.08838	-0.02738	-5.15777	3.20538	0.99595	-0.08990	0.00061	0.08990	0.99595	-0.00149	-0.00048	0.00154	1.00000	
51	0.50000																		474.26675	-30.63053	70.49288	-0.08537	-0.02962	-5.15763	3.21942	0.99595	-0.08990	0.00065	0.08990	0.99595	-0.00144	-0.00052	0.00149	1.00000	
52	0.51000																		474.27031	-30.63388	70.46475	-0.08788	-0.03282	-5.15669	3.21246	0.99595	-0.08988	0.00071	0.08988	0.99595	-0.00148	-0.00057	0.00153	1.00000	
53	0.52000																		474.26124	-30.62739	70.46784	-0.08846	-0.03115	-5.15534	3.21469	0.99595	-0.08986	0.00068	0.08986	0.99595	-0.00149	-0.00054	0.00154	1.00000	
54	0.53000																		474.25359	-30.66346	70.44529	-0.08278	-0.03184	-5.15640	3.20133	0.99595	-0.08987	0.00068	0.08987	0.99595	-0.00139	-0.00056	0.00144	1.00000	
55	0.54000																		474.25452	-30.67982	70.43136	-0.08447	-0.03159	-5.15667	3.20563	0.99595	-0.08988	0.00068	0.08988	0.99595	-0.00142	-0.00055	0.00147	1.00000	
56	0.55000																		474.26346	-30.64960	70.48804	-0.08507	-0.03398	-5.15864	3.21237	0.99595	-0.08991	0.00072	0.08991	0.99595	-0.00143	-0.00059	0.00148	1.00000	
57	0.56000																		474.26037	-30.57028	70.53303	-0.08568	-0.03120	-5.15665	3.21402	0.99595	-0.08988	0.00068	0.08988	0.99595	-0.00144	-0.00054	0.00150	1.00000	
58	0.57000																		474.27130	-30.59265	70.49059	-0.08604	-0.03091	-5.15685	3.20807	0.99595	-0.08988	0.00067	0.08988	0.99595	-0.00145	-0.00054	0.00150	1.00000	
59	0.58000																		474.26511	-30.65048	70.46416	-0.08710	-0.02964	-5.15657	3.20771	0.99595	-0.08988	0.00065	0.08988	0.99595	-0.00147	-0.00052	0.00152	1.00000	
60	0.59000																		474.26178	-30.63687	70.45559	-0.08726	-0.03204	-5.15864	3.20417	0.99595	-0.08991	0.00069	0.08991	0.99595	-0.00147	-0.00056	0.00152	1.00000	
61	0.60000																		474.25713	-30.65731	70.45624	-0.08353	-0.03319	-5.15729	3.20538	0.99595	-0.08989	0.00071	0.08989	0.99595	-0.00140	-0.00058	0.00146	1.00000	
62	0.61000																		474.28441	-30.69171	70.43183	-0.08896	-0.02732	-5.15869	3.21747	0.99595	-0.08991	0.00061	0.08991	0.99595	-0.00150	-0.00048	0.00155	1.00000	
63	0.62000																		474.25787	-30.65606	70.43546	-0.08680	-0.02990	-5.15797	3.20769	0.99595	-0.08990	0.00066	0.08990	0.99595	-0.00146	-0.00052	0.00151	1.00000	
64	0.63000																		474.26613	-30.62075	70.50777	-0.08536	-0.03037	-5.15676	3.21185	0.99595	-0.08988	0.00066	0.08988	0.99595	-0.00144	-0.00053	0.00149	1.00000	
65	0.64000																		474.27069	-30.61783	70.49688	-0.08588	-0.02807	-5.15714	3.22594	0.99595	-0.08989	0.00062	0.08989	0.99595	-0.00145	-0.00049	0.00150	1.00000	
66	0.65000																		474.26022	-30.64913	70.43745	-0.08464	-0.03296	-5.15792	3.20740	0.99595	-0.08990	0.00071	0.08990	0.99595	-0.00142	-0.00058	0.00148	1.00000	
67	0.66000																		474.24298	-30.63873	70.46390	-0.08492	-0.03284	-5.15500	3.21220	0.99596	-0.08985	0.00070	0.08985	0.99595	-0.00142	-0.00057	0.00148	1.00000	
68	0.67000																		474.25593	-30.58426	70.52623	-0.08948	-0.02761	-5.15793	3.19704	0.99595	-0.08990	0.00062	0.08990	0.99595	-0.00151	-0.00048	0.00156	1.00000	
69	0.68000																		474.26605	-30.59864	70.48414	-0.08703	-0.03089	-5.15606	3.21749	0.99595	-0.08987	0.00067	0.08987	0.99595	-0.00146	-0.00054	0.00152	1.00000	
70	0.69000																		474.26067	-30.65379	70.43426	-0.08559	-0.03139	-5.15870	3.21198	0.99595	-0.08991	0.00068	0.08991	0.99595	-0.00144	-0.00055	0.00149	1.00000	
71	0.70000																		474.25127	-30.63884	70.44618	-0.08471	-0.03124	-5.15725	3.21438	0.99595	-0.08989	0.00068	0.08989	0.99595	-0.00142	-0.00055	0.00148	1.00000	
72	0.71000																		474.26553	-30.63319	70.46472	-0.08400	-0.03169	-5.15623	3.21785	0.99595	-0.08987	0.00068	0.08987	0.99595	-0.00141	-0.00055	0.00147	1.00000	
73	0.72000																		474.26749	-30.66416	70.43864	-0.08640	-0.03185	-5.15718	3.21415	0.99595	-0.08989	0.00069	0.08989	0.99595	-0.00145	-0.00056	0.00151	1.00000	
74	0.73000																		474.25292	-30.65975	70.44951	-0.08617	-0.03117	-5.15527	3.21190	0.99595	-0.08985	0.00068	0.08986	0.99595	-0.00145	-0.00054	0.00150	1.00000	
75	0.74000																		474.25565	-30.61298	70.51155	-0.08634	-0.03136	-5.15773	3.21068	0.99595	-0.08990	0.00068	0.08990	0.99595	-0.00145	-0.00055	0.00151	1.00000	
76	0.75000																		474.25899	-30.58241	70.51546	-0.08508	-0.03041	-5.15717	3.21243	0.99595	-0.08989	0.00066	0.08989	0.99595	-0.00143	-0.00053	0.00148	1.00000	
77	0.76000																		474.25421	-30.62912	70.43854	-0.08614	-0.03115	-5.15754	3.22791	0.99595	-0.08989	0.00068	0.08989	0.99595	-0.00145	-0.00054	0.00150	1.00000	
78	0.77000																		474.25538	-30.65447	70.44786	-0.08580	-0.02964	-5.15753	3.20609	0.99595	-0.08989	0.00065	0.08989	0.99595	-0.00144	-0.00052	0.00150	1.00000	
79	0.78000																		474.26288	-30.64436	70.46152	-0.08471	-0.03226	-5.15757	3.21962	0.99595	-0.08989	0.00069	0.08990	0.99595	-0.00142	-0.00056	0.00148	1.00000	
80	0.79000																		474.26856	-30.65414	70.47684	-0.08383	-0.02920	-5.15820	3.21340	0.99595	-0.08991	0.00064	0.08991	0.99595	-0.00141	-0.00051	0.00146	1.00000	
81	0.80000																		474.25785	-30.68627	70.44478	-0.08553	-0.03070	-5.15697	3.20163	0.99595	-0.08988	0.00067	0.08988	0.99595	-0.00144	-0.00054	0.00149	1.00000	
82	0.81000																		474.26464	-30.65785	70.43022	-0.09128	-0.02810	-5.15854	3.20757	0.99595	-0.08991	0.00063	0.08991	0.99595	-0.00154	-0.00049	0.00159	1.00000	
83	0.82000																		474.26909	-30.61853	70.49191	-0.09146	-0.02877	-5.15937	3.21113	0.99595	-0.08993	0.00064	0.08993	0.99595	-0.00154	-0.00050	0.00160	1.00000	
84	0.83000																		474.25493	-30.63402	70.48551	-0.08650	-0.03329	-5.15848	3.21540	0.99595	-0.08991	0.00071	0.08991	0.99595	-0.00145	-0.00058	0.00151	1.00000	
85	0.84000																		474.24529	-30.64784	70.45973	-0.08619	-0.03368	-5.15768	3.21474	0.99595	-0.08990	0.00072	0.08990	0.99595	-0.00145	-0.00059	0.00150	1.00000	
86	0.85000																		474.25882	-30.62898	70.48177	-0.08682	-0.03134	-5.15746	3.20519	0.99595	-0.08989	0.00068	0.08989	0.99595	-0.00146	-0.00055	0.00152	1.00000	
87	0.86000																		474.27556	-30.63410	70.47693	-0.08522	-0.03124	-5.15826	3.21179	0.99595	-0.08991	0.00068	0.08991	0.99595	-0.00143	-0.00055	0.00149	1.00000	
88	0.87000																		474.26151	-30.67283	70.44685	-0.08499	-0.03066	-5.15776	3.21833	0.99595	-0.08990	0.00067	0.08990	0.99595	-0.00143	-0.00054	0.00148	1.00000	
89	0.88000																		474.24891	-30.65931	70.42628	-0.08491	-0.03017	-5.15656	3.21908	0.99595	-0.08988	0.00066	0.08988	0.99595	-0.00143	-0.00053	0.00148	1.00000	
90	0.89000																		474.25671	-30.63050	70.47431	-0.08584	-0.03221	-5.15748	3.21254	0.99595	-0.08989	0.00069	0.08989	0.99595	-0.00144	-0.00056	0.00150	1.00000	
91	0.90000																		474.26615	-30.60984	70.48040	-0.08465	-0.03217	-5.15771	3.20775	0.99595	-0.08990	0.00069	0.08990	0.99595	-0.00142	-0.00056	0.00148	1.00000	
92	0.91000																		474.25578	-30.62384	70.47355	-0.08391	-0.03282	-5.15766	3.21000	0.99595	-0.08990	0.00070	0.08990	0.99595	-0.00141	-0.00057	0.00146	1.00000	
93	0.92000																		474.25258	-30.65478	70.45127	-0.08622	-0.02854	-5.15912	3.23045	0.99595	-0.08992	0.00063	0.08992	0.99595	-0.00145	-0.00050	0.00150	1.00000	
94	0.93000																		474.24937	-30.64961	70.45432	-0.09001	-0.02865	-5.15983	3.20676	0.99595	-0.08993	0.00064	0.08993	0.99595	-0.00152	-0.00050	0.00157	1.00000	
95	0.94000																		474.26804	-30.62814	70.45501	-0.08788	-0.02907	-5.15657	3.20893	0.99595	-0.08988	0.00064	0.08988	0.99595	-0.00148	-0.00051	0.00153	1.00000	
96	0.95000																		474.24736	-30.63187	70.44784	-0.08536	-0.03077	-5.15585	3.21362	0.99595	-0.08986	0.00067	0.08987	0.99595	-0.00144	-0.00054	0.00149	1.00000	
97	0.96000																		474.27979	-30.64040	70.46508	-0.08868	-0.02812	-5.15755	3.19840	0.99595	-0.08989	0.00063	0.08989	0.99595	-0.00150	-0.00049	0.00155	1.00000	
